page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.baselland.ch/politik-und-behorden/direktionen/finanz-und-kirchendirektion/sozialamt/sozialhilfe/integrationsmassnahmen/foerderung-von-grundkompetenzen/Gesamtliste%20der%20Angebote/volkshochschule-vhs-lernzentrum-besser-lesen-schreiben-rechnen-und-den-computer-nutzen;No;No;No;N/A;The page is about a learning center for adults to improve reading, writing, arithmetic, and basic computer skills.
https://www.baselland.ch/politik-und-behorden/direktionen/finanz-und-kirchendirektion/sozialamt/sozialhilfe/integrationsmassnahmen/internetplattform/convalere-ag-pro-dem-integration;No;No;No;N/A;The page describes a program for supporting and guiding migrants in everyday topics, including basic PC usage.
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/sport/schulsport/ideen-zum-sportunterricht;No;No;No;N/A;The page provides ideas and resources for physical education in schools, including links to various sports modules and training platforms.
https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/landw-zentrum-ebenrain/landwirtschaft/meliorationen/unterhalt-periodishe-wiederinstandstellung-pwi;No;No;No;N/A;The page focuses on the maintenance and restoration of agricultural and forestry roads and drainage systems.
https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/Dokumente_Anleitungen;Yes;Yes;Yes;PDF;The page provides various PDF guides related to GeoView, a geoinformation system.
https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/raumplanung/kantonale-denkmalpflege/publikationen/leitfaden-historische-garten;No;No;No;N/A;The page offers a guide for owners of historical gardens and parks, focusing on responsible management and preservation.
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/dienstleistungen-und-angebote/informatik-schulen-bl/ict-bildung/ict-primarschulen/unterrichtsmaterial/programmieren-robotik/ausleihangebote/code-werkstatt/download-dokumente-code-werkstatt-nr-2;Yes;Yes;Yes;PDF, DOCX;The page offers downloadable documents for conducting CODE-Werkstatt, a coding and robotics workshop for students, including programming tasks and guidelines.
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/dienstleistungen-und-angebote/informatik-schulen-bl/informationssicherheit-und-datenschutz/informationssicherheit-und-it-sicherheit;Yes;No;No;N/A;The page discusses the importance of information and IT security, outlining the legal frameworks and continuous processes required for data protection.
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/dienstleistungen-und-angebote/informatik-schulen-bl;Yes;No;No;N/A;The page outlines the responsibilities and services of the IT department for schools in Baselland, including IT infrastructure management, hardware and software provisioning, and technical support.
https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/newsletter/newsletter-amt-fuer-geoinformation-1-2020-1/neue-eigentumsauskunft-des-kantons-basel-landschaft-1;Yes;No;Yes;PDF;The page discusses the launch of a new web application for property ownership information, replacing the existing TERINTRA system with Terravis. It also mentions downloadable PDFs for property information.
