page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportangebote/kinder-im-vorschulalter/auffrischung-und-neuerwerb-burzelbaum-auszeichnung.html;No;No;No;N/A;The page discusses guidelines for the Burzelbaum Award for preschool children in the area of Basel-Stadt, focusing on physical activity and nutrition.
https://www.archaeologie.bs.ch/ueber-uns/medienmitteilungen/archiv/vulkanausbruch.html;No;No;No;N/A;The page discusses the impact of the 1815 Tambora volcano eruption on skeletons from the 19th-century Basel hospital cemetery, revealing signs of famine.
https://www.gva.bs.ch/geoinformation/fachstelle-fuer-geoinformation.html;Yes;No;No;N/A;The page serves as a central hub for spatial data queries, offering support and consultation for GIS software and geodatabases within the cantonal administration.
https://www.steuerverwaltung.bs.ch/steuererklaerung/liegenschaftensteuern/formulare.html;No;No;No;N/A;The page provides various tax forms related to property taxes, which can be electronically filled, printed, and saved locally.
https://www.gva.bs.ch/geoinformation/interpolation-lv95.html;Yes;Yes;No;Webpage;The page provides information on how to use the GeoSuite software by swisstopo for coordinate transformations between LV03BS and LV95.
https://www.archaeologie.bs.ch/ausgraben/abgeschlossene-ausgrabungen/aussenbezirke-bettingen-riehen/st-johann-2015.html;No;No;No;N/A;The page discusses an archaeological excavation at the former St. Johann hospital cemetery, focusing on the discovery of skeletons and the history of the site.
https://www.hochbau-gebaeudemanagement.bs.ch/richtlinien_vorlagen/cad.html;Yes;Yes;Yes;Webpage;The page provides CAD guidelines and templates for architectural and building management projects, including CAD-Plan templates and DWG-Export guides.
https://www.gesundheit.bs.ch/gesundheitsfoerderung/gesundheitsinformationen/tipp-des-monats/alle-tipps/schreiben-haelt-fit.html;No;No;No;N/A;The page discusses the health benefits of handwriting, including its positive effects on memory, creativity, and fine motor skills.
https://www.gesundheit.bs.ch/gesundheitsfoerderung/gesundheitsinformationen/vaping_unterrichtsmaterialien.html;No;No;No;N/A;The page provides educational materials on vaping, including exercises and workshop guidelines for middle school and secondary school levels.
https://www.mobilitaet.bs.ch/gesamtverkehr/verkehrslenkung.html;Yes;No;No;N/A;The page discusses traffic management in Basel-Stadt, mentioning the use of software in traffic light control systems for specific intersections.
https://www.bs.ch/publikationen/bewilligungen/firmenzugang.html;Yes;No;Yes;PDF;The page offers information on a software solution for managing work and residence permits online, targeting businesses. A downloadable PDF guide is available.
https://www.awa.bs.ch/stellensuche-arbeitslosigkeit/jobroom-und-eservices.html;Yes;No;Yes;Webpage;The page discusses eServices and Jobroom platforms for job seekers and employers, providing guidelines for registration and use.
https://www.kfoeb.bs.ch/fuer-auftraggebende.html;No;No;Yes;PDF;The page provides guidelines and documents for public procurement processes, including PDF guides on various procedures.
https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/leistungssport-nachwuchsfoerderung/talent-eye.html;No;No;No;N/A;The page discusses the Talent Eye program, aimed at fostering athletic talent in children from the second grade of primary school.
https://www.staatsarchiv.bs.ch/ablieferung/records-management/registraturplan.html;No;No;Yes;PDF;The page provides guidelines for public records management, including a downloadable PDF on setting retention periods for documents.
https://www.stadtgaertnerei.bs.ch/freizeitgaerten/gartenkurse/Wuehlmaus.html;No;No;No;N/A;The page offers a course on how to combat voles in gardens, discussing their lifestyle and providing practical instructions for setting traps.
https://www.steuerverwaltung.bs.ch/steuererklaerung/natuerliche-personen/baltax.html;Yes;Yes;Yes;Webpage, PDF;The page provides information on BalTax, a software solution for filling out tax returns. It offers both online and downloadable versions, along with PDF and webpage guides for usage.
https://www.gesundheit.bs.ch/ueber-uns/projekte/rettungskette/erste-hilfe---leben-retten/firstresponder.html;Yes;Yes;Yes;PDF, Webpage;The page provides information on becoming a First Responder in Basel-Stadt, including the use of a specialized app for alerting and coordinating First Responders. PDF and webpage guides are available.
https://www.staatsarchiv.bs.ch/ablieferung/records-management.html;No;No;Yes;PDF;The page discusses the principles and procedures for efficient records management, including guidelines for document retention and disposal. PDF guides are available for setting retention periods.
