page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=b0060982-cb87-38c1-9a2e-df611dcdb058;No;No;No;N/A;Media release about government services.
https://www.akvb-unterricht.bkd.be.ch/de/start/sonderpaedagogische-massnahmen/einfache-sonderpaedagogische-massnahmen/spezialunterricht/psychomotorik/externe-psychomotorik-im-schuljahr-2023-24.html;No;No;No;N/A;Information on special education measures.
https://www.fobe.sid.be.ch/de/start/formulare.html;No;No;No;N/A;List of forms for public services.
https://www.beinfo.sites.be.ch/de/start/rubriken/ratgeber/ratgeber-202302-workBE.html;No;No;No;N/A;Guide on work-related topics.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=c28d0966-d903-3f4e-9fca-413e0dfe1b68;No;No;No;N/A;Media release about government services.
https://www.sta.be.ch/de/start/dienstleistungen/amtsblatt.html;No;No;No;N/A;Official government bulletin.
https://www.baka.dij.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
https://www.zivilstand.sid.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
https://www.big.sid.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
https://www.bsm.sid.be.ch/de/start/themen/bevoelkerungsschutz-zivilschutz/bevoelkerungsschutz/13--oktober--internationaler-tag-der-katastrophenvorbeugung.html;No;No;No;N/A;Information on disaster prevention.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=6e1eb1af-a545-38bd-8bea-c3169c321196;No;No;No;N/A;Media release about government services.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=c70a1425-a720-4f87-89cd-5511032803df;No;No;No;N/A;Media release about government services.
https://www.zshkk.dij.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
https://www.jobs.sites.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
https://www.bvd.be.ch/de/start/dienstleistungen/dienstleistungen-im-bereich-wasserbau-und-gewaesserunterhalt.html;No;No;No;N/A;Information on water construction and maintenance.
https://www.kultur.bkd.be.ch/de/start/themen/kulturfoerderung/kulturvermittlung/kultur-und-schule/foerdermoeglichkeiten-und-angebote-fuer-schulen/kids.html;No;No;No;N/A;Information on cultural promotion for schools.
https://www.biz.bkd.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
https://www.bvd.be.ch/de/start/themen/wasser/wasserversorgung/organisation-und-finanzierung.html;No;No;No;N/A;Information on water supply organization and financing.
https://www.masterplan-jvs.bvd.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information.
