page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.agi.dij.be.ch/de/start/kataster/oereb-kataster/informationen-fuer-gemeinden/ticketsystem-des-oereb-katasters.html;No;No;No;N/A;Page about a ticket system for OEREB cadastre.
https://www.bsm.sid.be.ch/de/start/themen/bevoelkerungsschutz-zivilschutz/notfalltreffpunkte/gemeindeinformationen.html;No;No;No;N/A;Page about emergency meeting points and community information.
https://www.biz.bkd.be.ch/de/start/themen/berufswahl-und-ausbildungswege/informationen-fuer-eltern.html;No;No;No;N/A;Page about career choices and educational paths for parents.
https://www.ajv.sid.be.ch/de/start/themen/erwachsenen--und-jugendvollzug/justizvollzugsanstalt-hindelbank/dienstleistungen-und-produkte.html;No;No;No;N/A;Page about services and products offered by Hindelbank prison.
https://www.gemeinden.dij.be.ch/de/start/gemeindefinanzen/hrm2/grundlagen.html;No;No;No;N/A;Page about the basics of HRM2 for community finances.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=d6e37c24-fbc1-3b76-be17-82aa41132f97;No;No;No;N/A;Page about media releases.
https://www.ne.sites.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information page.
https://www.lt.bkd.be.ch/de/tools/rechtliches.html;No;No;No;N/A;Legal information page.
https://www.beinfo.sites.be.ch/de/start/ueber-beinfo/rechtliches.html;No;No;No;N/A;Legal information page.
https://www.weu.be.ch/de/start/themen/landwirtschaft/pflanzenschutz/pflanzenschutz-sonderbewilligung-beantragen.html;No;No;No;N/A;Page about special permits for plant protection.
