page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.naturgefahren.sites.be.ch/de/start/ueber-uns/publikationen.html;No;No;No;N/A;The page provides an overview of publications related to natural hazards.
https://www.gewaesserrichtplaene.bvd.be.ch/de/start/einleitung.html;No;No;No;N/A;The page discusses the planning and management of water bodies.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=2a53bbff-74e7-3922-9707-ac1abb0779eb;Yes;No;No;N/A;The page discusses the delay in implementing a harmonized accounting model (HRM2) in the Canton's financial information system (FIS).
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=56efe503-2c97-39a9-b2e8-e54a6c19a75c;Yes;No;No;N/A;The page mentions the approval of a budget for the acquisition and implementation of uniform software for the administration of Bern University of Applied Sciences.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=ec966fd1-2287-3bd0-87ae-30a1d2800fe0;Yes;No;No;N/A;The page mentions the approval of credits for new software for elections and fleet management.
https://www.biz.bkd.be.ch/de/start/angebote/informationsangebote/biz-publikationen.html;No;No;No;N/A;The page offers various publications related to career, study, and vocational guidance.
https://www.bst.bkd.be.ch/de/start/themen/berufseinstieg-laufbahn/berufseinstieg/vorstellungsgespraech.html;No;No;No;N/A;The page offers tips and guidelines for job interviews.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=254c0bc2-c39c-3229-869b-1ec66d51c772;No;No;No;N/A;The page announces the opening of a COVID-19 rapid test center in Belp.
https://www.bkd.be.ch/de/start/dienstleistungen/anmeldung-fuer-die-bildungsgaenge-der-sekundarstufe-2/informationen-fuer-eltern-schuelerinnen-und-schueler.html;No;No;No;N/A;The page provides information on the admission procedure for secondary level II education.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=d29adeb8-d255-3b95-9bb7-1a7c3b7d2c2f;No;No;No;N/A;The page discusses the Financial and Burden Equalization Law (FILAG) and its impact on tax burden shifts between the Canton and municipalities.
