page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=92fdc463-5d8e-3f7d-91cc-f7b4b2ee3dc3;No;No;No;N/A;The page contains various announcements and updates from the government of the Canton of Bern, including topics like elections, healthcare, and education.
https://www.wegleitung.sv.fin.be.ch/de/start/np2021/berufskosten/uebrige-berufskosten/effektiv_uebrige_berufskosten.html;Yes;No;No;N/A;The page discusses tax deductions related to work expenses, including costs for computers and software used primarily for professional purposes.
https://www.kja.dij.be.ch/de/start/foerder--und-schutzleistungen/informationen-fuer-leistungsbestellende-und-leistungserbringende.html;No;No;No;N/A;The page provides information for service providers and service recipients in the context of child welfare and protection.
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-/neues-smartphone.html;Yes;Yes;No;Webpage;The page provides a step-by-step guide on how to set up two-factor authentication on a new smartphone or tablet.
https://www.raumplanung.dij.be.ch/de/start/kommunale-raumplanung/erhebung-der-unueberbauten-bauzonen.html;No;No;No;N/A;The page discusses the survey of undeveloped building zones based on cantonal guidelines and provides technical guidance for the process.
https://www.paedagogischer-dialog.bkd.be.ch/de/start/good-practice/filme-zum-uebertritt-in-die-sekundarstufe-ii.html;No;No;No;N/A;The page offers films and resources for students transitioning to secondary level II, focusing on career choices and educational practices.
https://www.beinfo.sites.be.ch/de/start/rubriken/7uhr/7uhr-202201-Donatella-Pulitano.html;No;No;No;N/A;The page features an interview with Donatella Pulitano, a terminologist, discussing her work in terminology and language technologies.
https://www.lt.bkd.be.ch/de/start/traditionen/handweben-von-trachtenschuerzen-und-anderen-gegenstaenden.html;No;No;No;N/A;The page discusses the traditional craft of hand-weaving aprons and other items for Bernese costumes, offering courses at Inforama Berner Oberland in Hondrich.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=73e36525-fc2d-3968-956e-e4ef1d20dd55;N/A;N/A;N/A;N/A;The content of the page could not be retrieved.
https://www.bsm.sid.be.ch/de/start/themen/bevoelkerungsschutz-zivilschutz/bevoelkerungsschutz/selbstvorsorge.html;No;No;No;N/A;The page discusses self-preparedness for emergencies, including the importance of having a stockpile of food, water, and other essentials.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=e2469bac-f9ab-3b8e-87d8-a07664992745;Yes;No;No;N/A;The page contains various announcements from the government of the Canton of Bern, including a section discussing a supplementary credit for the completion of a school administration software project for secondary schools.
https://www.lp-sl.bkd.be.ch/de/start/personelles/rueckerstattung-weiterbildung/schulinterne-weiterbildungen.html;Yes;No;No;N/A;The page discusses the reimbursement of costs for internal school training, including digital training tools and software for educational purposes.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=68a78197-45e2-32d3-884e-aa5dbf69eda5;Yes;No;No;N/A;The page discusses the use of electronic methods for submitting salary statements, mentioning the use of a specific software program eLohnausweis SSK for this purpose.
https://www.sicherfeiern.police.be.ch/de/tools/rechtliches.html;No;No;No;N/A;The page provides legal information and data protection guidelines, including the use of cookies and analytics tools for website optimization.
https://www.bbb.bkd.be.ch/de/tools/rechtliches.html;No;No;No;N/A;The page provides legal disclaimers and data protection guidelines, including the use of cookies and analytics tools for website optimization.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=0af97933-c97e-3982-9432-f17d15a92b0b;Yes;No;No;N/A;The page discusses the use of electronic methods for submitting salary statements, mentioning the use of a specific software program eLohnausweis SSK for this purpose.
https://www.faechernet.bkd.be.ch/de/start/dienstleistungen/gestalten/umsetzungshilfen-bg/bg-2-zyklus/downloads.html;No;No;No;N/A;The page provides downloadable resources for teaching art, including step-by-step instructions and templates for planning learning arrangements.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=da44d529-4426-3d58-9458-9dd4b1fd5715;Yes;No;No;N/A;The page discusses adjustments to software for processing applications for immediate business support due to the pandemic.
https://www.kaio.fin.be.ch/de/start/themen/oeffentliches-beschaffungswesen/newsletter/2-2020.html;Yes;No;No;N/A;The page discusses changes in public procurement law and mentions software adjustments to the simap.ch platform for publishing public tenders.
