page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.police.be.ch/de/start/themen/warnungen/coronavirus.html;No;No;No;N/A;Information about coronavirus warnings and measures.
https://www.bkd.be.ch/de/start/dienstleistungen/anmeldung-fuer-die-bildungsgaenge-der-sekundarstufe-2/informationen-fuer-die-schulen-der-sekundarstufe-ii.html;No;No;No;N/A;Information for schools about secondary level 2 education.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=a2527914-5d20-3171-9711-1198251d4cd7;No;No;No;N/A;Media release about online services for moving formalities.
https://www.bst.bkd.be.ch/de/start/themen/lern-arbeitstechniken/studienspezifische-techniken/pruefungen-bewaeltigen.html;No;No;No;N/A;Guidance on specific study techniques for exams.
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-.html;Yes;No;No;N/A;Information about two-factor authentication at the workplace.
https://www.gsi.be.ch/de/start/themen/coronavirus/impfen/informationen-fuer-fachpersonen-zur-impfung/impfstoffbestellungen-und-logistik.html;No;No;No;N/A;Information for professionals about COVID-19 vaccination logistics.
https://www.vgb.justice.be.ch/de/start/themen.html;No;No;No;N/A;Overview of various topics related to justice.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=a4d787a4-0acd-386f-9f51-5c50b969d801;No;No;No;N/A;Media release about electronic moving services.
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=bdb7904a-cc3c-331e-96e3-85256e6d81d6;No;No;No;N/A;Media release about online moving formalities.
https://www.kantonsstrassen-projekte.bvd.be.ch/de/start/region-berner-mittelland/verkehrsmanagement-region-bern-nord/newsletter-vom-september-2019.html;No;No;No;N/A;Newsletter about traffic management in the Bern North region.
