page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.gr.ch/DE/institutionen/verwaltung/ekud/dd/stagl/themen/arbeitswelt/familie_beruf/Seiten/kmu-engiadina.aspx;No;No;No;N/A;404 page
https://kunstmuseum.gr.ch/de/ausstellungen/archiv/2014/Seiten/Fotoszene-GR.aspx;No;No;No;N/A;Focuses on a photography exhibition by Bündner Kunstmuseum.
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2006/Seiten/DE_17012.aspx;No;No;No;N/A;Discusses a networking event for students and companies in Kanton Graubünden.
https://kunstmuseum.gr.ch/;No;No;No;N/A;Provides information on upcoming exhibitions at Bündner Kunstmuseum.
https://kunstmuseum.gr.ch/de/ausstellungen/vorschau/Seiten/Alberto-Giacometti.aspx;No;No;No;N/A;404 page
https://kunstmuseum.gr.ch/de/ausstellungen/archiv/2022/Seiten/Wolfgang-Laib.aspx;No;No;No;N/A;Details an exhibition by artist Wolfgang Laib, focusing on his relationship with nature and Eastern philosophies.
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/DE_2008-10-22_2050.aspx;No;No;No;N/A;Discusses gender pay equality in the cantonal administration of Graubünden.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/dd/publikationen/Statistik_Publikationen/Fragebogen%20zur%20Konsultation%20Lehrplan%2021.doc;No;No;No;N/A;A questionnaire for consultation on the Lehrplan 21 educational plan in Kanton Graubünden.
https://kunstmuseum.gr.ch/de/ausstellungen/archiv/2017;No;No;No;N/A;Lists various art exhibitions held in 2017 at Bündner Kunstmuseum.
https://kunstmuseum.gr.ch/de/ausstellungen/archiv/2021/Seiten/Jahresausstellung-2021.aspx;No;No;No;N/A;Highlights the annual exhibition of artists from Graubünden, held from December 2021 to January 2022.
