page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://kunstmuseum.gr.ch/de/besuch/cafe/Seiten/Caf%C3%A9.aspx;No;No;No;N/A;Information about the Museumscafé in Villa Planta, including its offerings, opening hours, and contact details.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/avs/Volksschule/Lehrplan21_MI_Musterkonzept_rm.docx;Yes;No;Yes;Webpage (Handreichung Medien und Informatik);A document outlining the concept for media and computer science education in schools, including guidelines for handling electronic devices, software, and data security.
https://kunstmuseum.gr.ch/de/Sammlung/Highlights/Seiten/giacometti_Im-Atelier.aspx;No;No;No;N/A;"A description of the artwork ""Im Atelier"" by Augusto Giacometti, including details about the artist's life, work, and the specific painting."
https://kunstmuseum.gr.ch/de/ausstellungen/archiv/2015/Seiten/Gastspiel-IM-KUNSTHAUS%20ZUG-2015.aspx;No;No;No;N/A;"Details of the exhibition ""CHARAKTERE IM KUNSTHAUS ZUG"" held from 29.11.2015 to 21.02.2016, showcasing works from the Bündner Kunstmuseum and Kunsthaus Zug, focusing on landscape art, sculpture, and contemporary artists."
https://www.gr.ch/DE/institutionen/verwaltung/djsg/afm/dienstleistungen/PKI/Seiten/CardOS-API-Middleware.aspx;Yes;Yes (webpage guide);No;Webpage;Information about CardOS API, a software that enables cryptographic applications to communicate and authenticate with CardOS Smart-Cards. The page includes details about hardware and software requirements, compatibility, and contact information for download inquiries.
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2011/Seiten/2011021801.aspx;No;No;No;N/A;Announcement of a project aimed at supporting small and medium-sized enterprises (KMU) in Graubünden in analyzing and implementing family-friendly measures, with the goal of improving the balance between family work and employment.
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2019/Seiten/2019020702.aspx;N/A;N/A;N/A;N/A;Unfortunately, the content of this page could not be retrieved. Please let me know if you would like me to attempt to access it again or provide assistance with something else.
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2011/Seiten/2011050902.aspx;No;No;No;N/A;Announcement of a public information event on May 12, 2011, focusing on family-friendly work conditions as a success factor for small and medium-sized enterprises (KMU) in Graubünden. The event includes discussions on opportunities, benefits, and challenges of family-friendly work conditions, along with presentations from various stakeholders.
https://www.gr.ch/DE/institutionen/verwaltung/diem/aev/dokumentation/EnergieeffizienzVollzugsformulare/200729_en_101b_rechnerische_loesung.xlsx;No;No;No;N/A;An Excel file containing a mathematical solution related to energy efficiency enforcement forms.
https://kunstmuseum.gr.ch/de/ausstellungen/archiv/2022/Seiten/La-stanza-e-la-strada.aspx;No;No;No;N/A;"Details of the exhibition ""La stanza e la strada"" featuring works by Zoran Music and Norbert Möslang, held from 27.08.2022 to 13.11.2022. The exhibition includes a reconstruction of a room painted by Music, combined with a sound installation by Möslang, exploring the interplay between interior and exterior spaces."
