page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://immobilien.lu.ch/;No;No;No;N/A;The page is about real estate projects and services in the Kanton Luzern.
https://www.vwbz.ch/Ueberbetriebliche_Kurse/Vorbereitungsaufgaben;No;No;No;N/A;The page provides preparation tasks for vocational training courses.
https://www.vwbz.ch/GGV_Erweiterte_Branchenkunde;No;No;No;N/A;The page focuses on extended vocational knowledge for municipal employees in Luzern.
https://www.vwbz.ch/ueber_uns/Generalversammlung;No;No;No;N/A;The page provides information about the annual general meeting of the VWBZ association.
https://steuern.lu.ch/;No;No;Yes;Downloadable Software;The page provides information on tax matters in Kanton Luzern, including downloadable tax software.
https://www.vwbz.ch/Teaser_Lernende;No;No;No;N/A;The page provides essential information for apprentices in public administration.
https://ksschuepfheim.lu.ch/;No;No;No;N/A;The page provides information about Kantonsschule Schüpfheim, a gymnasium focusing on talent development in various fields.
https://www.vwbz.ch/ueber_uns/OEV_News;No;No;No;N/A;The page offers news updates related to vocational training in public administration in Central Switzerland.
https://www.vwbz.ch/Begriffe_A_Z;No;No;Yes;Textual Guide;The page provides a glossary of terms related to vocational training, including guides for using OneNote and Zoom.
https://www.vwbz.ch/Disclaimer;No;No;No;N/A;The page outlines the terms and conditions for using the VWBZ portal, including disclaimers and data protection policies.
https://azs-zivilschutz.lu.ch/;No;No;No;N/A;The page provides information about the civil protection training center in Sempach, including its renovation plans and importance in disaster management.
https://www.vwbz.ch/ueber_uns/Kommissionen;No;No;No;N/A;The page describes the commissions and project groups responsible for vocational training in public administration in Central Switzerland.
https://informatik.lu.ch/;Yes;Yes;Yes;Textual Guide;The page is focused on ICT training and various technology projects, including software solutions for public administration in Kanton Luzern.
https://www.vwbz.ch/Betriebliche_Bildung_inkl_PE_und_ALS;No;No;Yes;Textual Guide;The page discusses vocational training in public administration, including a quick guide for the VWBZ platform.
https://www.vwbz.ch/Ueberbetriebliche_Kurse;No;No;Yes;Textual Guide;The page discusses inter-company courses in public administration, including guides for using OneNote and Zoom.
https://www.vwbz.ch/Betriebliche_Bildung_inkl_PE_und_ALS/Lerndokumentation;No;No;No;N/A;The page discusses the learning and performance documentation required for vocational training in public administration.
https://www.vwbz.ch/BiVo_2023/Extranet;Yes;Yes;Yes;Textual Guide;The page discusses the mandatory use of the Extranet platform for vocational training starting in 2023, including guides for user registration and program setup.
