page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.vwbz.ch/BiVo_2023/BiVo_Snack;No;No;No;N/A;The page offers short training sessions for instructors on various topics related to vocational training.
https://finanzen.lu.ch/;No;No;No;N/A;The page is a competence center for financial and controlling issues in the cantonal administration.
https://www.vwbz.ch/Teaser_Berufsbildner;No;No;No;N/A;The page provides essential information for vocational trainers, including responsibilities and how to access current information.
https://www.vwbz.ch/Modulschulungen;No;No;No;N/A;The page offers modular training sessions for vocational or practical trainers to efficiently use educational tools.
https://www.vwbz.ch/BiVo_2023/Projektgruppe_BiVo;No;No;No;N/A;The page describes a project group supporting the introduction of a vocational training reform in Central Switzerland.
https://www.vwbz.ch/Ueberbetriebliche_Kurse/Repetitionsaufgaben;No;No;No;N/A;The page provides repetition questions for vocational training courses and allows trainers to access the answers via a tool.
https://oereb.lu.ch/;No;No;No;N/A;The page provides information on the ÖREB Cadastre, an official system detailing public-law property restrictions in the Canton of Lucerne.
https://www.vwbz.ch/BiVo_2023/BiVo_Schulungen;No;No;No;N/A;The page offers training sessions for vocational trainers to prepare them for the BiVo 2023 educational reform.
https://www.vwbz.ch/BiVo_2023;No;No;No;N/A;The page provides an overview of the BiVo 2023 educational reform, including its implementation and requirements for vocational trainers and trainees.
https://www.vwbz.ch/ueber_uns/Kontakt;No;No;No;N/A;The page provides contact information for the VWBZ office, including phone numbers and staff details.
https://www.vwbz.ch/QV/Pruefungsstandorte;No;No;No;N/A;The page provides location maps for various examination centers in different cantons.
https://www.vwbz.ch/Ueberbetriebliche_Kurse/Besondere_Lehrverlaeufe;No;No;No;N/A;The page outlines various special educational pathways, including shortened and extended vocational training courses.
https://azs-zivilschutz.lu.ch/Zeitplan;No;No;No;N/A;The page provides a timeline for the construction and renovation of an instruction building, expected to be completed by 2028.
https://www.vwbz.ch/Praxismodule;No;No;No;N/A;The page offers optional practical modules in the areas of personnel and finance for third-year trainees who lack opportunities for practical training in their companies.
https://handelsregister.lu.ch/;No;No;No;N/A;The page serves as the official commercial register for the Canton of Lucerne, providing legal and economic information about companies.
https://www.vwbz.ch/BiVo_2023/UEK;No;No;No;N/A;"The page provides information on ""Überbetrieblichen Kurse"" (inter-company courses), including their structure, costs, and how they are organized through an Extranet tool."
https://www.vwbz.ch/Betriebliche_Bildung_inkl_PE_und_ALS/Plattformen;Yes;No;Yes;Text;The page provides information on various platforms used for vocational training, including login instructions and guides for both learners and trainers.
https://www.vwbz.ch/Betriebliche_Bildung_inkl_PE_und_ALS/Ausbildungsprogramm;No;No;No;N/A;The page outlines the responsibilities of vocational trainers in creating an educational program for each learner, which serves as a planning tool and basis for final exams.
https://mehrwertausgleich.lu.ch/;No;No;No;N/A;The page provides information on the value-added compensation in the Canton of Lucerne, including legal foundations and guidelines.
