page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.vwbz.ch/Ueberbetriebliche_Kurse/Aktuelles_UEK_und_Lehre;No;No;No;N/A;The page discusses upcoming courses and events related to vocational training.
https://www.zbsa.ch/Einreichung_Berichterstattungsunterlagen;No;No;No;N/A;The page is for submitting reporting documents related to foundations or pension institutions.
https://www.vwbz.ch/ueber_uns;No;No;No;N/A;The page provides information about VWBZ, an organization focused on vocational training in Central Switzerland.
https://www.vwbz.ch/ueber_uns/Vorstand;No;No;No;N/A;The page lists the board members of VWBZ and their affiliations.
https://www.vwbz.ch/Ueberbetriebliche_Kurse/To_Dos;No;No;No;N/A;The page provides documents for vocational training preparation and follow-up activities.
https://www.vwbz.ch/Betriebliche_Bildung_inkl_PE_und_ALS/Extranet_ov_ap_inaktiv;Yes;No;No;N/A;The page discusses the mandatory use of an Extranet system for vocational training starting 2023.
https://darmkrebsvorsorge.lu.ch/;No;No;No;N/A;The page is focused on colorectal cancer prevention and offers information on screening programs.
https://www.vwbz.ch/Betriebliche_Bildung_inkl_PE_und_ALS/PE_und_ALS;Yes;No;No;N/A;The page discusses Prozesseinheiten (PE) and Arbeits- und Lernsituationen (ALS) in vocational training, including the use of rALS software for evaluations.
https://www.vwbz.ch/Hoehere_Berufsbildung;No;No;No;N/A;The page discusses higher vocational education and its increasing importance, particularly in public administration.
https://www.vwbz.ch/;No;No;No;N/A;The page serves as a portal for vocational training in public administration, offering various resources and information.
