page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.ow.ch/_rte/abstimmung/4274;No;No;No;N/A;The page details the results of a local election and referendum in Obwalden, Switzerland, including information on voting procedures and related documents.
https://www.ow.ch/_rte/publikation/19219;No;No;No;N/A;"The page provides information about the Cantonal Development Plan, titled ""The Heart of Swiss Spatial Planning,"" including a downloadable PDF brochure related to spatial planning in Obwalden, Switzerland."
https://www.ow.ch/_rte/publikation/9885;No;Yes (webpage guide);No;PDF;The page provides a brief guide for the reassessment process, specifically an external user manual for the application of the online portal related to tax administration in Obwalden, Switzerland.
https://www.ow.ch/_rte/publikation/31438;Yes;Yes (webpage guide);No;PDF;The page provides an instruction manual for exporting the E-Balance CH from ABACUS for import into CleverTax, related to tax administration in Obwalden, Switzerland.
https://www.ow.ch/_rte/publikation/8756;No;No;No;N/A;The page provides information about municipal building authorities and building and zoning regulations in Obwalden, Switzerland, including contact details for various municipal building departments.
https://www.ow.ch/_rte/onlinedienst/4471;No;No;No;N/A;The page provides instructions for detecting grubs (Engerlingen) through soil sampling in Obwalden, Switzerland.
https://www.ow.ch/_rtr/datenschutz;No;No;No;N/A;The page outlines the privacy policy and data protection measures implemented on the Canton of Obwalden's website, including information about cookies, encryption, and third-party services.
https://www.ow.ch/_rte/abstimmung/3604;No;No;No;N/A;The page provides information about the results of the cantonal and federal referendums held on September 23, 2018, in Obwalden, Switzerland, including details on various initiatives and voting statistics.
https://www.ow.ch/_rte/information/33321;Yes;No;No;N/A;The page details an administrative matter regarding the procurement of software for the electronic creation, editing, management, and archiving of tax files in Obwalden, Switzerland, dated October 26, 2016.
https://www.ow.ch/_rte/onlinedienst/3964;Yes;Yes (webpage guide);No;Webpage;The page provides information about the electronic tax filing system in Obwalden, Switzerland, including details about eTax OW for individuals and Obwalden Tax for legal entities, along with support contacts and instructions.
