page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.ow.ch/_rte/thema2/5188;No;No;No;N/A;The page discusses road signage and advertising regulations in Obwalden.
https://www.ow.ch/_rte/dienst/2154;No;No;No;N/A;The page focuses on occupational safety and health protection in Obwalden.
https://www.ow.ch/_rte/publikation/6833;No;No;No;N/A;Data retrieval is incomplete.
https://www.ow.ch/_rte/dienst/2748;No;No;No;N/A;Data retrieval is incomplete.
https://www.ow.ch/_rte/dienst/4094;No;No;No;N/A;The page provides information on cantonal laws and regulations in Obwalden.
https://www.ow.ch/_rte/dienst/2155;No;No;No;N/A;The page provides information on work hours and rest periods as regulated by Obwalden's labor laws.
https://www.ow.ch/_rte/thema2/3517;No;No;No;N/A;The page provides information on withholding tax regulations in Obwalden.
https://www.ow.ch/_rte/publikation/26134;No;No;No;N/A;The page provides additional information on withholding tax, including forms and guidelines.
https://www.ow.ch/_rte/publikation/7935;No;No;No;N/A;Data retrieval is incomplete.
https://www.ow.ch/_rte/publikation/15107;No;No;Yes;PDF;"The page offers a downloadable PDF guide titled ""IBB-Wegleitung SODK Ost+ 2019."""
https://www.ow.ch/_rte/dienst/2995;No;No;Yes;Brochure;The page discusses labor laws and youth protection, offering downloadable brochures.
https://www.ow.ch/_rte/dienst/4074;No;No;Yes;Wegleitung (Guide);The page discusses youth labor laws and health protection, offering a guide on the subject.
https://www.ow.ch/_rte/information/94597;No;No;No;N/A;The page discusses Obwalden's long-term strategy for 2032, focusing on various strategic action fields.
https://www.ow.ch/_rte/thema2/5939;No;No;No;N/A;The page discusses the role of Alois Michel in the creation of the Swiss Federal Constitution.
https://www.ow.ch/_rte/dienst/7016;No;No;No;N/A;The page discusses the Tierverkehrsdatenbank (Animal Traffic Database) and its role in tracking livestock.
https://www.ow.ch/_rte/publikation/3950;No;No;No;N/A;Data retrieval is incomplete.
