page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;type_of_software_guide;page_content
https://www.zh.ch/en/wirtschaft-arbeit/wirtschaftsstandort/wirtschaftszweige/kreativwirtschaft.html;Yes;No;No;N/A;The page discusses the creative industries in Zurich, including the software and game industry, highlighting key players, statistics, and the economic significance of the sector.
https://www.zh.ch/de/wirtschaft-arbeit/domain-zuerich/registrierungsinfo.html;No;No;No;N/A;The page provides information regarding the registration of .zuerich domains, including eligibility criteria, guidelines, and the process for registration.
https://www.zh.ch/de/migration-integration/integration/integrationsagenda/online-handbuch-iazh/finanzierung-reporting/reporting-iazh--anleitung-und-erlaeuterungen.html;No;Yes (webpage guide);No;Webpage;The page provides a detailed guide and instructions for reporting within the Integration Agenda of the Canton of Zurich (IAZH), including data collection, transmission, financial accounting, and the use of specific tools like Excel templates and Fallführungssoftware.
https://www.zh.ch/de/politik-staat/gesetze-beschluesse/beschluesse-des-regierungsrates/rrb/regierungsratsbeschluss-94-2009.html;Yes;No;No;N/A;The page details a government resolution (Nr. 94/2009) regarding the introduction of new school administration software (TABS-EDV) in vocational schools, including the accounting process.
https://www.zh.ch/de/bildung/berufs-studien-laufbahnberatung/ausbildungsbeitraege/hilfe-beim-beantragen-von-ausbildungsbeitraegen/fuer-zhservices-business-anmelden.html;Yes;Yes (webpage guide);Yes;PDF;The page provides instructions for institutions to register for ZHservices Business, a digital platform for handling various administrative tasks with the cantonal administration. It includes guides for registration and data transfer in PDF format.
https://www.zh.ch/de/familie/angebote-fuer-familien-mit-kindern/elternbildung/elternbildung-organisieren-referieren/toolbox-und-stammtisch-elternbildung.html;No;Yes (webpage guide);Yes;PDF, DOCX;The page offers a toolbox and resources for organizing parent education, including downloadable guides in PDF and DOCX formats on topics such as planning, conducting, and evaluating parent education events.
https://www.zh.ch/de/sport-kultur/sport/sport-an-der-schule/sport-in-der-tagesstruktur/ausbildung-j-s-kindersport-fuer-tagesstrukturen.html;No;Yes (webpage guide);Yes;PDF;The page provides information about the J+S-Allround (Children) training for supplementary school care, including course details, eligibility, and downloadable PDF guides for sample children's sports courses.
https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/gewaesserschutz/grundwasserschutz.html;No;Yes (webpage guide);Yes;PDF, DOCX;The page provides comprehensive information on groundwater protection in the Canton of Zurich, including regulations, zoning, and downloadable guides in PDF and DOCX formats for creating protection zone regulations, guidelines, and other related documents.
https://www.zh.ch/de/arbeiten-beim-kanton/ein-kanton-viele-moeglichkeiten/arbeiten-bei-der-baudirektion/praktikum-kommunikation-informatik.html;Yes;No;No;N/A;The page provides information about internship opportunities in communication and informatics within the Canton of Zurich's Building Directorate, including a specific internship in real estate informatics involving the organization, conception, and execution of acceptance tests for new IT tools, SAP applications, and programming languages.
https://www.zh.ch/de/bildung/informationen-fuer-schulen/informationen-volksschule/volksschule-schulinfo-besonderer-bildungsbedarf/schulinfo-spitalschulung.html;No;Yes (webpage guide);Yes;PDF, DOCX, XLSX;The page provides detailed information about hospital schooling in the Canton of Zurich, including regulations, guidelines, and downloadable guides in PDF, DOCX, and XLSX formats for the operation of hospital and clinic schools, supervision, individual instruction, and financial reporting.
