page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/egvt/hinweise-banken;Yes;No;Yes;Webpage;Finance and taxes;Discusses electronic business transactions (eGVT) for banks, including technical and procedural aspects.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=bestnoten-fuer-aargau-im-vergleich-der-kantonsfinanzen-614f2760-8d4a-412b-bf1a-c1327a471df2_de;No;No;No;N/A;N/A;Discusses a study on the financial situation of the Canton of Aargau, highlighting its strong performance in various financial metrics.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/jugendarbeitslosigkeit/hilfe-bei-der-lehrstellensuche;No;No;No;N/A;N/A;Provides information on various services and programs to assist young people in finding apprenticeships.
https://www.ag.ch/de/smartserviceportal/dienstleistungen?dl=fuer-zwischenloesung-nach-obligatorischer-schulzeit-anmelden-f0df4b85-ee60-4e7d-9872-dc4d78d9811c_de;No;No;No;N/A;N/A;"Provides information on how to register for interim solutions after compulsory schooling, including the use of the ""Wegweiser"" online platform for the application process."
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/agobis;Yes;Yes;Yes;PDF;E-governance and administration;Provides information on AGOBIS, a land and object information system, including login procedures and user guides.
https://www.ag.ch/de/verwaltung/dvi/kantonspolizei/verkehr-und-umwelt/verkehr;No;No;No;N/A;N/A;Discusses traffic regulations, safety measures, and law enforcement activities related to road traffic in the Canton of Aargau.
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/berufsvorbereitung-zwischenloesungen/angebote-fuer-jugendliche;No;No;No;N/A;N/A;Discusses various programs and services to assist young people in transitioning from primary to secondary education, focusing on vocational training.
https://www.ag.ch/de/verwaltung/dvi/strassenverkehr/koerperbehinderung-verkehrsmedizin/arztpersonen/qualitaetssicherung-emedko;Yes;Yes;Yes;PDF;Health;"Discusses the ""emedko"" electronic application used for periodic medical checks related to driving fitness, including its features and benefits."
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=wegweiser-zu-den-roemern-und-habsburgern-f33e83ae-5e7c-43ba-af49-9379f472fcdf_de;No;No;No;N/A;N/A;Discusses a brochure that provides a guide to the visible traces from Roman times, including descriptions of individual monuments and historical events.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=regierungsrat-legt-finanzpolitische-ziele-fest-e1aac7d0-34f9-4ae7-9405-5f32fb6b1a08_de;No;No;No;N/A;N/A;Discusses the financial goals and principles set by the government for the Canton of Aargau, focusing on sustainability and economic growth.
