page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.ag.ch/de/verwaltung/dgs/militaer-bevoelkerungsschutz/bevoelkerungsschutz/katastrophenvorsorge-(katavo)/verhaltensempfehlungen/trockenheit-waldbrandgefahr;No;No;No;N/A;N/A;The page provides general recommendations for behavior during dry conditions and wildfire risks.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=erfahrungen-fuers-leben-832b38ce-fd4c-4802-a335-576b60626b76_de;No;No;No;N/A;N/A;The page discusses the responsibilities of the Civil Protection unit in caring for the population during emergencies.
https://www.ag.ch/de/verwaltung/dfr/geoportal/agis-netzwerk;Yes;No;No;N/A;N/A;The page describes the AGIS Service Center's role in providing geoinformation infrastructure, including GIS software and licensing.
https://www.ag.ch/de/verwaltung/bvu/ueber-uns/organisation/vertretungen-kommissionen/jagdpruefungskommission;No;No;No;N/A;N/A;The page provides information about the Hunting Examination Commission and its members.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=gemeinderatswahlen-fuer-die-amtsperiode-2002-2005-70b2d1b7-ead0-41a0-894b-d23ebc523422_de;No;No;No;N/A;N/A;The page discusses the simultaneous election of the Municipal Council and the Mayor and Deputy Mayor, as well as the legal requirements for voting.
https://www.ag.ch/de/verwaltung/dfr/geoportal/geodaten/kartendownload;Yes;Yes;Yes;Textual;Maps, infrastructures and territorial planning;The page offers a ZIP file containing an EMF file that can be edited in text processing software like Office Word or OpenOffice. It includes instructions for editing.
https://www.ag.ch/de/verwaltung/dfr/geoportal/online-karten;Yes;Yes;Yes;Textual, PDF;Maps, infrastructures and territorial planning;The page provides information on how to use online maps, including features like measuring distances, printing maps, and obtaining property owner information.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=hochwasser-situation-im-kanton-aargau-rueckbau-der-mobilen-hochwassersperren-im-verlauf-der-woche-geplant-18717777-33aa-4c02-9f00-530643e2c918_de;No;No;No;N/A;N/A;The page discusses the current flood situation in the Kanton Aargau and the measures being taken to manage it.
https://www.ag.ch/de/verwaltung/dfr/ueber-uns/organisation/hr-aargau/pki-zertifizierungen;Yes;Yes;Yes;Textual, PDF;E-governance and administration;The page provides instructions for PKI certification, including how to apply for and renew digital certificates for various administrative tasks.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=feuerbrandbekaempfung-7b630736-a348-4dd9-99ab-e09e50a47768_de;No;No;No;N/A;N/A;The page discusses the strategies and measures for combating fire blight, a plant disease, in the Kanton Aargau.
