page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/lehre/betriebliche-bildung/lehrvertrag-lehrvertragsaenderungen;No;No;No;N/A;N/A;The page discusses the uniform contract for vocational training in the Canton of Aargau.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=noch-200-kilometer-bis-zum-ziel-1f5c204d-b8a5-4f5f-b512-2627677558ed_de;No;No;No;N/A;N/A;The page discusses the expansion of the bicycle route network in the Canton of Aargau.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=zeitraumaargau-ch-neu-mit-einem-wegweiser-fuer-die-schulen-56e67c97-1d81-41b8-9f0e-1cad3dbcb6cf_de;No;No;No;N/A;N/A;The page discusses the addition of a guide to the video portal zeitraumaargau.ch.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=5186da89-e805-4b35-9cf0-b925ee547b11_de;No;No;No;N/A;N/A;"The page discusses the initiative ""Work Life Aargau."""
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/ressourcenschutz/stofflicher-gewaesserschutz/hof-recyclingduenger;No;No;No;N/A;N/A;The page discusses the planning and application of farm and recycling fertilizers.
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/bildung-fuer-erwachsene/foerderung-von-grundkompetenzen;No;No;No;N/A;N/A;The page discusses the promotion of basic competencies in adults.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=koordiniertes-bauen-auf-der-oftringer-zuerichstrasse-f537936b-ba22-4048-b665-b2ca9d7eaa4b_de;No;No;No;N/A;N/A;The page discusses coordinated construction efforts on the Zürichstrasse in Oftringen.
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/nachhaltige-entwicklung/nachhaltigkeit-in-gemeinden;No;No;No;N/A;N/A;The page discusses the Canton of Aargau's efforts to support sustainable development in municipalities.
https://www.ag.ch/de/verwaltung/bks/sonderschulen-behindertenbetreuung/kinder-und-jugendliche/sonderschulung-und-berufsbildung;No;No;No;N/A;N/A;The page discusses special education and vocational training options for children and young adults with disabilities.
https://www.ag.ch/de/verwaltung/bks/kultur/kulturvermittlung/kultur-macht-schule/prozessor/gefoerderte-projekte?dc=775f70f7-3c28-4e66-a68a-770ebaf321c6_de;No;No;No;N/A;N/A;The page discusses a project where Aarau students engaged in creative activities related to urban planning and public space.
