page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=wegweiser-zum-neuen-steuergesetz-c22fa01c-1bc7-4a4a-ab8d-076ee1842bc5_de;No;No;No;N/A;N/A;The page discusses a new tax law in the Aargau canton and provides a guide for residents on transitioning to the new tax system.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/jugendarbeitslosigkeit/motivationssemester;No;No;No;N/A;N/A;The page provides information on a Motivationssemester, a program aimed at unemployed youth, offering education, work, and application training.
https://www.ag.ch/de/verwaltung/bks/kultur/kulturpflege/archaeologie/sehenswuerdigkeiten-fundorte?dc=10005055-3dd6-4aa5-b8c7-6c25982cd128_de;No;No;No;N/A;N/A;The page describes a nearly fully preserved Roman theater in Lenzburg, detailing its history and architectural features.
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/berufsvorbereitung-zwischenloesungen/angebote-fuer-jugendliche/anlaufstelle-wegweiser;No;No;No;N/A;N/A;The page provides information on Wegweiser, a central contact point for young people looking for transitional solutions between obligatory schooling and vocational training.
https://www.ag.ch/de/themen/klimawandel/mein-beitrag/fuer-gemeinden;No;No;No;N/A;N/A;The page provides various tools and resources for municipalities to address climate change, including energy efficiency, mobility, and sustainability.
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/lehre/betriebliche-bildung/lehrvertrag-lehrvertragsaenderungen;No;No;No;N/A;N/A;The page provides information on the uniform apprenticeship contract that must be approved by the Department of Vocational Training and Middle School, covering topics like duration, salary, and working hours.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=noch-200-kilometer-bis-zum-ziel-1f5c204d-b8a5-4f5f-b512-2627677558ed_de;No;No;No;N/A;N/A;The page discusses the expansion of the cantonal cycling route network in Aargau, aiming to make cycling safer and more attractive.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=zeitraumaargau-ch-neu-mit-einem-wegweiser-fuer-die-schulen-56e67c97-1d81-41b8-9f0e-1cad3dbcb6cf_de;No;No;No;N/A;N/A;The page discusses the addition of a guide to the video portal zeitraumaargau.ch, aiming to integrate the portal into school curricula and enhance students media literacy.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=5186da89-e805-4b35-9cf0-b925ee547b11_de;No;No;No;N/A;N/A;The page discusses the Work Life Aargau initiative, aimed at making the Aargau work location more attractive and providing a platform for employers to present themselves to skilled workers.
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/ressourcenschutz/stofflicher-gewaesserschutz/hof-recyclingduenger;No;No;No;N/A;N/A;The page provides guidelines on the efficient use of farm and recycling fertilizers, focusing on nutrient balance and legal requirements.
