page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/mobilitaet/verkehrsdaten/verkehrserhebungen;No;No;No;N/A;N/A;The page is about traffic data collection and analysis in the Canton of Aargau.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=coronavirus-(covid-19)-apotheken-helfen-bei-der-impfanmeldung-9f1878dc-12f8-4618-a4c5-8b3131697eda_de;Yes;No;No;N/A;Health;The page discusses the use of federal software for Covid-19 vaccination registration in the Canton of Aargau.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=neues-prozessrecht-auch-fuer-die-laienrichter-2f97e43e-1366-4e8d-a2ce-9876ddf8cc0f_de;No;No;No;N/A;N/A;The page discusses the unification of civil and criminal procedural law in Switzerland, focusing on lay judges.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=sirenentest-2007-62502ad4-9ad5-4cc3-a010-b6675c12c9ef_de;No;No;No;N/A;N/A;The page provides information about the testing of emergency sirens in the Canton of Aargau.
https://www.ag.ch/de/smartserviceportal/dienstleistungen?dl=einsichtsgesuch-in-archivgut-des-staatsarchivs-waehrend-schutzfrist-stellen-203a2a62-28b6-4cc3-b17f-589b78b44655_de;No;No;No;N/A;N/A;The page provides information on how to request access to archival materials during their protection period in the Canton of Aargau.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/arbeitnehmende/arbeitsbedingungen/gesundheitsschutz;No;No;No;N/A;N/A;The page focuses on health protection in the workplace and how employees can report inadequate conditions.
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/bildung-beschaeftigung/angebot;Yes;No;Yes;Webpage;Education;The page offers resources for job seekers, including access to digital skills training platforms like AWS and Google Career Certificates.
https://www.ag.ch/de/verwaltung/bvu/bauen/baubewilligungen/ebau-aargau/ebau-haeufige-fragen-support;Yes;Yes;Yes;PDF;Maps, infrastructures and territorial planning;The page provides a FAQ and support for the eBau Aargau software, which is used for electronic building permit processes.
https://www.ag.ch/de/themen/coronavirus/covid-zertifikat/impfung-schweiz;Yes;No;No;N/A;Health;The page provides information on how to order various types of Covid-19 certificates in the Canton of Aargau.
https://www.ag.ch/de/aktuell/medien/medienmitteilungen?mm=hochwasser-situation-im-kanton-aargau-angespannte-stabile-lage-durch-die-getroffenen-massnahmen-843ad3df-3250-4f83-b9e9-38748ca78b9c_de;No;No;No;N/A;N/A;The page provides updates on the flood situation in the Canton of Aargau, including safety measures and current water levels.
