page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/essg/essg-bestellung-der-lehrbuecher;No;No;No;N/A;N/A;The page is about ordering textbooks for FaBe and FaGe courses in German language.
https://www.fr.ch/de/find/poa/leistungen-poa;Yes;No;No;N/A;Human resources;The page describes the services provided by the Office for Personnel and Organization (POA), including software management for personnel administration and salary payments.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts-3;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page serves as a guide for using DSK2 software, focusing on changing priorities for properties.
https://www.fr.ch/de/sjsd/pol/news/die-tour-de-romandie-der-frauen-2-etappen-fuehren-durch-unseren-kanton;No;No;No;N/A;N/A;The page discusses the Tour de Romandie for women, detailing the routes and timings for the cycling event.
https://www.fr.ch/de/bildung-und-schulen/berufsbildung/welche-berufsbildung/vorlehre;No;No;No;N/A;N/A;The page provides information on pre-apprenticeship programs aimed at preparing young people for 2-, 3-, or 4-year vocational training.
https://www.fr.ch/de/mahf/das-kriegshandwerk;No;No;No;N/A;N/A;The page is an exhibition overview focusing on the history of warfare and its economic and social implications in Freiburg.
https://bdlf.fr.ch/app/de/change_documents/4362;No;No;No;N/A;N/A;The content of the page could not be retrieved for analysis.
https://bdlf.fr.ch/app/de/change_documents/1480;No;No;No;N/A;N/A;The content of the page could not be retrieved for analysis.
https://www.fr.ch/de/sk/news/der-kanton-freiburg-verzichtet-fuer-den-moment-auf-die-wiedereinfuehrung-des-e-voting;Yes;No;No;N/A;E-governance and administration;The page discusses the suspension of the E-Voting project in the Canton of Freiburg due to technical and administrative complexities.
https://www.fr.ch/de/bildung-und-schulen/erwachsenen-und-weiterbildung/erwerb-und-erhalt-von-grundkompetenzen/finanzielle-unterstuetzung-der-erwachsenenbildung-und-der-weiterbildung;No;No;No;N/A;N/A;The page provides information on financial support for adult education and continuing education in the Canton of Freiburg.
https://bdlf.fr.ch/app/de/change_documents/2808;No;No;No;N/A;N/A;The content of the page could not be retrieved for analysis.
