page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/vwd/fh/news/covid-19-wichtige-informationen-zur-hes-sofr;No;No;No;N/A;N/A;The page discusses the impact of COVID-19 on the HES-SO//FR university, including changes to in-person and remote learning.
https://www.fr.ch/de/kub/cantook-e-books-und-hoerbuecher-in-franzoesischer-sprache;Yes;Yes;Yes;Webpage;Culture and tourism;The page provides information on Cantook, a platform for E-Books and audiobooks, including how to access and use the service.
https://www.fr.ch/de/steuern/natuerliche-personen/selbststaendige-taetigkeit;No;No;No;N/A;N/A;The page provides tax-related information for individuals engaged in self-employed activities.
https://www.fr.ch/de/sk/news/abschaffung-der-beschwerde-an-den-staatsrat-in-personalangelegenheiten-eroeffnung-der-vernehmlassung;No;No;No;N/A;N/A;The page discusses a legislative proposal to abolish appeals to the State Council in personnel matters.
https://bdlf.fr.ch/app/de/texts_of_law/115.1/versions/4982?all_languages=true&diff=split;N/A;N/A;N/A;N/A;N/A;The content of the page could not be retrieved.
https://www.fr.ch/de/sjsd/jvbha/organisation-des-amts-fuer-justizvollzug-und-bewaehrungshilfe-jvbha;No;No;No;N/A;N/A;The page outlines the organizational structure and responsibilities of the Office for Penal Execution and Probation (JVBHA).
https://www.fr.ch/de/sjsd/news/der-traditionelle-postenlauf-der-fachpersonen-fuer-justizvollzug-findet-in-freiburg-statt;No;No;No;N/A;N/A;The page discusses a traditional event for professionals in the field of penal execution, aimed at strengthening connections among them.
https://www.fr.ch/de/steuern/natuerliche-personen/steuern-der-natuerlichen-personen-spezifische-themen;No;No;No;N/A;N/A;The page provides information on specific tax-related topics for natural persons, such as self-employment, assets abroad, and tax declaration procedures.
https://www.fr.ch/de/alltag/vorgehen-und-dokumente/geschiedene;Yes;No;No;N/A;N/A;The page discusses the requirements for divorced individuals in the EWR system, including a mention of software-related issues.
https://www.fr.ch/de/staat-und-recht/agglomerationen/fusion-grossfreiburgs;No;No;No;N/A;N/A;The page discusses a fusion project involving several municipalities in the Grossfreiburg region, detailing the roles and responsibilities of various committees and delegates.
https://www.fr.ch/de/energie-landwirtschaft-und-umwelt/boden/bodenschutz-beim-bauen;No;No;No;N/A;N/A;The page provides guidelines and measures for soil protection during construction projects, including legal procedures and documentation.
