page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/gsd/gesa/gesundheitsfachpersonen-und-institutionen/bewilligung-fuer-den-betrieb-einer-gesundheitsinstitution;No;No;No;N/A;N/A;The page provides information on the requirements and procedures for operating a healthcare institution.
https://bdlf.fr.ch/app/de/texts_of_law/411.5.11;No;No;No;N/A;N/A;The content could not be retrieved for analysis.
https://www.fr.ch/de/sjsd/pol/news/trotz-des-guten-wetters-bleiben-hochwasserrisiken-bestehen;No;No;No;N/A;N/A;The page discusses flood risks and safety measures.
https://www.fr.ch/de/energie-landwirtschaft-und-umwelt/wasser/seen-und-fliessgewaesser/qualitaet-der-fliessgewaesser/dokumentation-qualitaet-der-fliessgewaesser;No;No;No;N/A;N/A;The page focuses on the quality of flowing waters and related monitoring.
https://www.fr.ch/de/gesundheit/gesundheitsfachleute-und-institutionen/sozialmedizinische-leistungen/leistungen-der-hilfe-und-pflege-zu-hause;No;No;No;N/A;N/A;The page outlines services for home-based care and assistance for sick or disabled individuals.
https://bdlf.fr.ch/app/de/texts_of_law/130.21/versions/6042?all_languages=true&diff=split;No;No;No;N/A;N/A;The content could not be retrieved for analysis.
https://www.fr.ch/de/deef/src/artikel;No;No;No;N/A;N/A;The page provides information on the Commercial Register Office, including procedures for registering, modifying, and deleting various types of companies.
https://bdlf.fr.ch/app/de/change_documents/1785;No;No;No;N/A;N/A;The content could not be retrieved for analysis.
https://www.fr.ch/de/staat-und-recht/oeffentliche-finanzen/neue-instrumente-fuer-das-finanz-und-verwaltungsmanagement-nigefi;Yes;No;No;N/A;E-governance and administration;The page discusses the implementation of SAP software for financial and logistical management within the cantonal administration.
https://www.fr.ch/de/gesundheit/gesundheitssicherheit;No;No;No;N/A;N/A;The page discusses health safety measures, including instructions for healthcare professionals and institutions, as well as information on infectious diseases.
https://www.fr.ch/de/staat-und-recht/gesetzgebung/publikationen-ueber-familienpolitik-und-gleichsstellung;No;No;No;N/A;N/A;The page provides publications related to family policy and gender equality in the Canton of Fribourg.
