page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-fuer-die-erfassung-eines-akts;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide on how to use DSK2 for land and property management.
https://www.fr.ch/de/find/vga/datei/richtlinien-dokumentationen-und-links-av;Yes;No;Yes;Webpage;Maps, infrastructures and territorial planning;The page provides various guidelines and links, including a user manual for DSK2 related to official surveying.
https://www.fr.ch/de/sjsd/spa/news/bergwandern-selbstueberschaetzung-kann-gefaehrlich-sein;No;No;No;N/A;N/A;The page discusses the risks of mountain hiking and provides safety tips.
https://www.fr.ch/de/news?fuseaction_pre=List&page=5;No;No;No;N/A;N/A;The page lists various news articles on different topics, none of which are related to software or software guides.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/av-richtlinien;Yes;No;Yes;Webpage;Maps, infrastructures and territorial planning;The page provides various guidelines for official surveying, including a user manual for DSK2.
https://bdlf.fr.ch/app/de/texts_of_law/741.11/versions/5918?all_languages=true&diff=split;No;No;No;N/A;N/A;The content of the page could not be retrieved.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/abrechnung-von-gebuehren;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide on how to handle fee calculations in the DSK2 software.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-grundstuecksuche;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide on how to search for properties using the DSK2 software.
https://www.fr.ch/de/steuern/natuerliche-personen/fritax/fritax-faq;Yes;Yes;No;Webpage;Finance and taxes;The page provides a FAQ section for FriTax, a tax software, covering various topics like data import, troubleshooting, and electronic submission.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/abrechnung-ho33;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a detailed guide on how to handle billing and invoicing within the DSK2 software.
https://www.fr.ch/de/alltag/vorgehen-und-dokumente/sonder-und-sozialpaedagogische-institutionen-des-kantons-freiburg-dokumente;Yes;Yes;Yes;Webpage;Social and public security;The page provides various documents and guidelines for special and social pedagogical institutions, including user manuals for EDISES and OLMIS software.
