page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/kub/dienstleistungen-und-infrastruktur-der-kub-beauregard;No;No;No;N/A;N/A;The page provides information about the services and infrastructure available at KUB-Beauregard.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts-5;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page serves as a guide for using the DSK2 software for property classification and printing reports.
https://www.fr.ch/de/polizei-und-sicherheit/bevoelkerungsschutz/stromversorgungsunterbruch;No;No;No;N/A;N/A;The page discusses the risks and consequences of power outages.
https://www.fr.ch/de/rimu/afu/news/zusatzbericht-des-staatsrats-zum-entwurf-des-kantonalen-klimagesetzes-klimg;No;No;No;N/A;N/A;The page discusses a supplementary report on the draft of the cantonal climate law.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-navigationprinzipien;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page serves as a guide for navigating the DSK2 software.
https://www.fr.ch/de/grangeneuve/berufsbildungsgaenge-in-grangeneuve;No;No;No;N/A;N/A;The page provides information on vocational training courses offered by Grangeneuve.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dks2-leitfaden-zur-erfassung-eines-akts;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page is a guide on how to manage area changes using the DSK2 software.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-dem-vga-vorbehaltene-aktionen;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page outlines actions in the DSK2 software that are reserved for VGA.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-canofile-dokumenten-suchen;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page is a guide on how to search for old Canofile documents within the DSK2 system.
https://www.fr.ch/de/steuern/natuerliche-personen/vermoegen-im-ausland-steuer-der-natuerlichen-personen;No;No;No;N/A;N/A;The page provides information on how to declare foreign assets for tax purposes.
https://www.fr.ch/de/staat-und-recht/gesetzgebung/redaktion-und-gesetzestechnik;Yes;Yes;No;Webpage;E-governance and administration;The page discusses guidelines and regulations for drafting legislative texts.
