page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://bdlf.fr.ch/app/de/change_documents/1282;No;No;No;N/A;N/A;The page could not be analyzed due to lack of content.
https://www.fr.ch/de/gsd/kaa/organisation-des-kaa;No;No;No;N/A;N/A;The page is about the organization of the Cantonal Medical Office (KAA) and its areas of responsibility.
https://www.fr.ch/de/gsd/news/covid-19-dienste-fuer-hilfe-und-pflege-zu-hause-spitex-und-freiwillige-einsatz-mit-vereinten-kraeften-zur-unterstuetzung-aelterer-und-besonders-gefaehrdeten-personen;No;No;No;N/A;N/A;The page discusses COVID-19 services for home care and volunteer efforts to support vulnerable individuals.
https://www.fr.ch/de/datei/sozialmedizinische-leistungen?language=fr%3Fpage%3D5;No;No;No;N/A;N/A;The page could not be analyzed due to lack of content.
https://www.fr.ch/de/arbeit-und-unternehmen/arbeiten-beim-staat/weiterbildungsprogramm-des-staates-freiburg/leichter-gute-berufliche-texte-schreiben;No;No;No;N/A;N/A;The page provides information on a course for writing professional texts, offered to employees of the State of Freiburg.
https://www.fr.ch/de/kultur-und-tourismus/kulturerbe/historisches-murtenschiessen;No;No;No;N/A;N/A;The page describes the Historical Murtenschiessen, a traditional shooting event commemorating the Battle of Murten.
https://bdlf.fr.ch/app/de/texts_of_law/411.0.11/versions/6105;No;No;No;N/A;N/A;The page could not be analyzed due to lack of content.
https://www.fr.ch/de/steuern/natuerliche-personen/liegenschaftsbewertung;No;No;No;N/A;N/A;The page discusses property valuation and related tax matters in the Canton of Freiburg.
https://www.fr.ch/de/covid19/news/einfacher-schneller-mehr-kapazitaeten-organisation-der-corona-tests-wird-angepasst;No;No;No;N/A;N/A;The page discusses adjustments to the organization of COVID-19 testing in the Canton of Freiburg.
https://www.fr.ch/de/steuern/juristische-personen/steuern-der-juristischen-personen-allgemeines-und-dokumente;No;No;No;N/A;N/A;The page provides information on tax regulations and documentation for legal entities in the Canton of Freiburg.
https://www.fr.ch/de/gesundheit/gesundheitsfachleute-und-institutionen/anweisungen-und-informationen-fuer-aerzte-angehoerige-der-gesundheitsberufe-und-institutionenschulen;No;No;No;N/A;N/A;The page provides guidelines and information for healthcare professionals and institutions, including topics like hygiene measures, patient rights, and COVID-19 protocols.
