page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/staat-und-recht/abstimmungen-wahlen-und-politische-rechte/wahlen-informationen-und-ergebnisse/resultate-frueherer-wahlen/gemeindewahlen-vom-20-maerz-und-10-april-2011-generalrat-gemeinderat;No;No;No;N/A;N/A;The page provides information on the results of municipal elections held on March 20 and April 10, 2011.
https://www.fr.ch/de/find/finv/wichtige-ereignisse-und-kennzahlen-finv;Yes;No;No;N/A;N/A;The page discusses financial planning and budget control, including the SAP software transformation project (S/4 Finanzen).
https://www.fr.ch/de/gesundheit/gesundheitssicherheit/chemikalien/meine-pflichten-als-herstellerinimporteur-von-chemikalien;No;No;No;N/A;N/A;The page outlines the responsibilities of manufacturers and importers of chemicals, including safety and regulatory compliance.
https://www.fr.ch/de/alltag/vorgehen-und-dokumente/nuetzliche-links;No;No;No;N/A;N/A;"The page provides various useful links related to the ""Personnenergisterharmonisierung"" project in the canton of Freiburg, including registries and online services."
https://www.fr.ch/de/staat-und-recht/abstimmungen-wahlen-und-politische-rechte/abstimmungen-informationen-zu-den-abstimmungsvorlagen-und-den-resultaten/abstimmungsbroschueren-im-audio-format;No;Yes;No;Audio;E-governance and administration;The page provides audio-format brochures explaining cantonal referendums for the visually impaired, available in DAISY format.
https://www.fr.ch/de/sk/news/zusaetzliche-mittel-fuer-die-elektronische-verfuegbarkeit-von-leistungen-der-gemeinden;Yes;No;No;N/A;N/A;The page discusses the DIGI-FR program aimed at accelerating the electronic availability of municipal services, including E-Government features.
https://bdlf.fr.ch/app/de/texts_of_law/122.0.12/versions/6027;No;No;No;N/A;N/A;The content of the page could not be retrieved.
https://bdlf.fr.ch/app/de/change_documents/743;No;No;No;N/A;N/A;The content of the page could not be retrieved.
https://www.fr.ch/de/covid19/news/covid-19-oeffnung-der-schalter-der-kantonsverwaltung;No;No;No;N/A;N/A;The page discusses the reopening of administrative offices during the Covid-19 pandemic and encourages the use of online services.
https://bdlf.fr.ch/app/de/change_documents/966;No;No;No;N/A;N/A;The content of the page could not be retrieved.
https://www.fr.ch/de/sjsd/spa/news/training-gegen-sturzunfaelle-turnverband-und-fitnesscenter-packen-mit-an;No;No;No;N/A;N/A;The page discusses a program aimed at preventing falls among seniors through targeted training.
