page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/raum-planung-und-bau/raum/faq;No;No;No;N/A;N/A;Discusses land value tax and zoning regulations.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dks2-leitfaden-zur-erfassung-eines-akts;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;User guide for DSK2 software.
https://www.fr.ch/de/arbeit-und-unternehmen/arbeiten-beim-staat/fruelingsstimmung-vor-ostern;No;No;No;N/A;N/A;Discusses HR policies and employee well-being.
https://www.fr.ch/de/gsd/news/psyquiz-20-ein-update-anlaesslich-der-tage-der-schizophrenie;Yes;No;No;N/A;Health;Discusses updated PsyQuiz app.
https://www.fr.ch/de/sjsd/pol/news/vorsicht-vor-betruegereien-zu-online-kontoerneuerungen;No;No;No;N/A;N/A;Warns about phishing attacks.
https://www.fr.ch/de/kultur-und-tourismus/kulturerbe/familienwappen;No;No;No;N/A;N/A;Provides information on family crests.
https://www.fr.ch/de/arbeit-und-unternehmen/unternehmen/aufgaben-des-arbeitsinspektorats/chemikalien-am-arbeitsplatz;No;No;No;N/A;N/A;Discusses health and safety with chemicals.
https://bdlf.fr.ch/app/de/texts_of_law/821.0.81/versions/6486?all_languages=true&diff=split;N/A;N/A;N/A;N/A;N/A;Unable to retrieve content.
https://bdlf.fr.ch/app/de/change_documents/1984;N/A;N/A;N/A;N/A;N/A;Unable to retrieve content.
https://bdlf.fr.ch/app/de/change_documents/2862;N/A;N/A;N/A;N/A;N/A;Unable to retrieve content.
https://www.fr.ch/de/steuern/steuerzahlungen/steuern-bezahlen-faq;No;No;No;N/A;N/A;Answers to tax payment FAQs.
