page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/raum-planung-und-bau/baubewilligung-und-bewilligungen/friac;Yes;No;No;N/A;N/A;The page provides information on FRIAC, an application for building permits in Fribourg.
https://www.fr.ch/de/find/kstv/news/allgemeine-wegleitung-zur-steuererklaerung-fuer-natuerliche-personen;No;No;Yes;PDF;Finance and taxes;The page informs about a general guide for tax returns, available in PDF format.
https://www.fr.ch/de/vwbd/bba/waehrend-der-lehre/qualifikationsverfahren-pruefungen;No;No;No;N/A;N/A;The page discusses qualification procedures for vocational training exams.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hilfe-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts-3;N/A;N/A;N/A;N/A;N/A;The page returned a 404 error.
https://www.fr.ch/de/rimu/afu/news/klima-ein-wegweiser-fuer-den-umgang-mit-staedtischen-hitzeinseln;No;No;No;N/A;N/A;The page discusses measures to combat urban heat islands and increase resilience against climate change.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hilfe-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts-7;N/A;N/A;N/A;N/A;N/A;The page returned a 404 error.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hilfe-benutzerhandbuch-dsk2/dsk2-hilfe-aktensuche;N/A;N/A;N/A;N/A;N/A;The page returned a 404 error.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts-1;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide for capturing elements for the title page of acts/records in DSK2 software.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts-0;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide for inserting plots into DSK2 software.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dks2-hilfe-verfahren-zur-verwaltung-der-akten;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide on the procedures for managing records in DSK2 software.
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dsk2-hilfe-leitfaden-zur-erfassung-eines-akts;Yes;Yes;No;Webpage;Maps, infrastructures and territorial planning;The page provides a guide on how to open a case file in DSK2 software.
