page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.fr.ch/de/covid19/news/massnahmen-gegen-das-coronavirus;No;No;No;N/A;N/A;The page provides information on measures against COVID-19.
https://www.fr.ch/de/sjsd/spa/news/trampolinparks-und-sprunganlagen-betreiber-und-eltern-sind-gefordert;No;No;No;N/A;N/A;The page discusses safety recommendations for trampoline parks.
https://www.fr.ch/de/gsd/kaa/auftrag-des-kaa;No;No;No;N/A;N/A;The page outlines the responsibilities of the Cantonal Medical Office.
https://www.fr.ch/de/sjsd/pol/news/das-verbot-im-freien-feuer-zu-entfachen-bleibt-weiterhin-aufrechterhalten;No;No;No;N/A;N/A;The page discusses the continued prohibition of open fires.
https://bdlf.fr.ch/app/de/change_documents/357;No;No;No;N/A;N/A;The page did not provide any content for analysis.
https://www.fr.ch/de/news?fuseaction_pre=List&page=127;No;No;No;N/A;N/A;The page lists various news articles related to the Canton of Fribourg.
https://www.fr.ch/de/bildung-und-schulen/obligatorische-schule/formen-des-informationsaustausches;No;No;No;N/A;N/A;The page discusses the various ways schools communicate with parents.
https://www.fr.ch/de/eksd/quarantaene-informationen-fuer-schuelerinnen-und-schueler-sowie-lehrpersonen;No;No;No;N/A;N/A;The page provides information on quarantine measures for students and teachers.
https://bdlf.fr.ch/app/de/change_documents/105;No;No;No;N/A;N/A;The page did not provide any content for analysis.
https://www.fr.ch/de/gb;No;No;No;N/A;N/A;The page provides information about the judicial authorities in the Canton of Fribourg.
