page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Steuerverwaltung/Steuerarten-28099-DE.html;No;No;No;N/A;N/A;"The page is about types of taxes, specifically wealth tax, in the Canton of Schaffhausen."
https://sh.ch/CMS/frontend/index.jsp?contentid=2212682&language=DE&globalshared=true;No;No;No;N/A;N/A;"The page content could not be retrieved, it may be a placeholder or an empty page."
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Erziehungsdepartement/Dienststelle-Primar--und-Sekundarstufe-I/Abteilung-Sonderp-dagogik/P-dagogisch-Therapeutischer-Dienst-811111-DE.html;No;No;No;N/A;N/A;The page is about psychomotor services in the field of special pedagogy in the Canton of Schaffhausen.
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-12993665-DE.html;No;No;No;N/A;N/A;The page discusses the risk of forest fires and advises caution when dealing with fire.
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Departementssekretariat-Baudepartement/Energiefachstelle/Energief-rderprogramm-1566144-DE.html;No;No;No;N/A;N/A;The page is about an energy promotion program in the Canton of Schaffhausen.
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Volkswirtschaftsdepartement/Amt-f-r-Geoinformation-10370121-DE.html;Yes;No;No;N/A;N/A;"The page is about the INTERLIS Checkservice, a geoinformation service."
https://sh.ch/CMS/frontend/index.jsp?contentid=1709458&language=DE&globalshared=true;No;No;No;N/A;N/A;"The page content could not be retrieved, it may be a placeholder or an empty page."
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Portal-Kantonsrat---Ratsbetrieb-2249044-DE.html;No;No;No;N/A;N/A;The page provides an overview of small inquiries made in the year 2019 within the Canton of Schaffhausen's parliament.
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Departementssekretariat-Baudepartement/Energiefachstelle-1253017-DE.html;No;No;No;N/A;N/A;The page is about Minergie standards for planners in the Canton of Schaffhausen.
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Informatik-Schaffhausen-1305221-DE.html;Yes;No;No;N/A;N/A;The page is about the Information Technology department in the Canton of Schaffhausen.
