page_link,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic,page_content,canton
https://www.ur.ch/_rte/publikation/4245,No,No,No,N/A,N/A,The page provides information about a brochure for vocational training and also mentions browser compatibility issues.,uri
https://www.ur.ch/_rte/publikation/4146,No,No,No,N/A,N/A,"The page discusses a hiking path called ""Wildheupfad Rophaien"" and provides information about its markers and additional resources.",uri
https://www.ur.ch/_rte/publikation/30596,No,No,No,N/A,N/A,"The page title suggests a guide on climate strategy for municipalities, but the content of the page could not be retrieved.",uri
https://www.ur.ch/_rte/dienst/3700,No,No,No,N/A,N/A,"The page title suggests it's about hiking and biking trails and signage, but the content of the page could not be retrieved.",uri
https://www.ur.ch/_rte/dienst/3655,No,No,No,N/A,N/A,"The page title suggests a focus on climate, but the content of the page could not be retrieved.",uri
https://www.gr.ch/EN/institutions/administration/djsg/ga/projektneu/Wegweiseralter,N/A,N/A,N/A,N/A,N/A,Content not available.,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2023/Seiten/2023082302.aspx,No,No,No,N/A,N/A,Discusses a meeting of experts on mountain forests focusing on climate change.,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2021/Seiten/2021080301.aspx,No,No,No,N/A,N/A,Unable to retrieve content after multiple attempts.,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2019/Seiten/2019012801.aspx,No,No,Yes,App,Others,The page informs about the annual siren tests in Switzerland and mentions the Alertswiss app for disaster preparedness.,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2016/Seiten/2016052602.aspx,No,No,No,N/A,N/A,The page provides tips on the safe use of household chemicals and mentions a new video by the Standeskanzlei.,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2015/Seiten/2015071401.aspx,No,No,No,N/A,N/A,Page discusses a fire ban in Graubünden due to high risk of forest and land fires,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/2000/Seiten/DE_14378_i.aspx,No,No,No,N/A,N/A,The page provides a summary of the results of the 1999 autumn hunting season in Graubünden.,graubunden
https://www.gr.ch/DE/Medien/Mitteilungen/MMStaka/1997/Seiten/DE_13031.aspx,No,No,No,N/A,N/A,The page discusses the involvement of cantons in Swiss federal foreign policy.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/ekud/avs/sport/Sport-Fonds/Seiten/wegleitungen.aspx,No,No,No,N/A,N/A,"Instructions and application forms for sports funding in various areas such as sports events, sports equipment, and sports facilities, provided by the Canton of Graubünden.",graubunden
https://www.gr.ch/DE/institutionen/verwaltung/ekud/anu/themen/biodiversitaet/Lebensraeume/Hecken,N/A,N/A,N/A,N/A,N/A,N/A,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/ekud/anu/aktuelles/mitteilungen/Seiten/20150716_1Augustfeuer.aspx,No,No,No,N/A,N/A,The page discusses a fire ban in Graubünden due to the risk of forest and field fires.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afb/dokumentelinks/Seiten/berufsinspektorat.aspx,No,No,No,N/A,N/A,The page provides various forms and documents related to vocational training and apprenticeships in Graubünden.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/dvs/soa/beratung/finanzielle-unterstuetzung/alimentenhilfe,N/A,N/A,N/A,N/A,N/A,N/A,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/dvs/lbbz/beratungfachwissen/herdenschutz/Seiten/Angebot.aspx,N/A,N/A,N/A,N/A,N/A,N/A,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/dvs/alt/aktuelles/Seiten/Koordinierte-Varroabehandlung-GR-%E2%80%93-wichtige-Information-f%C3%BCr-alle-Imker.aspx,No,No,No,N/A,N/A,"Advisory for beekeepers on coordinated Varroa mite treatment, with guidelines for managing the treatment amidst high temperatures.",graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2022/Seiten/202207181.aspx,No,No,No,N/A,N/A,"Announcement regarding traffic disruptions in Davos due to sports events on July 23, 2022, providing details on the events and affected areas.",graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2019/Seiten/201903012.aspx,No,No,No,N/A,N/A,The page discusses traffic restrictions due to the Engadin Skimarathon event.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2014/Seiten/201401141.aspx,No,No,No,N/A,N/A,Unable to retrieve content after multiple attempts.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2012/Seiten/201206071.aspx,No,No,No,N/A,N/A,The page announces a kids' event organized by the Kantonspolizei focused on safe bicycle riding.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2010/Seiten/201004303.aspx,No,No,No,N/A,N/A,The page discusses a new agility course for the Kantonspolizei Graubünden focused on everyday cycling skills.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2005/Seiten/DE_8852.aspx,No,No,No,N/A,N/A,"Warning about fraudulent attempts via email and counterfeit checks targeting businesses and individuals, along with advice on how to handle such situations.",graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2004/Seiten/DE_8169.aspx,No,No,No,N/A,N/A,The page reports a theft of cameras from a photography store in Klosters.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2004/Seiten/DE_8131.aspx,No,No,No,N/A,N/A,"Safety advice regarding fireworks on National Day, mentioning the risks of mishandling fireworks and providing guidelines to ensure safety.",graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2004/Seiten/DE_7888_i.aspx,No,No,No,N/A,N/A,The page outlines traffic regulations for the 36th Engadin Skimarathon.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/ga/projektneu/Wegweiser_Alter,No,No,No,N/A,N/A,An informational platform about aging resources and consultations provided by the Health Department of Graubünden.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/amz/zivilschutz/Seiten/Schutzbauten.aspx,Yes,No,No,N/A,N/A,Page discusses civil protection structures and mentions software used for shelter allocation,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/amz/zivilschutz/faq/Seiten/kaliumiodid.aspx,No,No,No,N/A,N/A,Page provides FAQs regarding the use of potassium iodide tablets in the event of a nuclear incident​,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/djsg/amz/aktuelles/Seiten/Sirenentests-Mittwoch-4--Februar-2015.aspx,No,No,No,N/A,N/A,"Information about the annual siren tests conducted across Switzerland on February 4, 2015, explaining the purpose and procedure of the tests.",graubunden
