page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.gr.ch/DE/institutionen/verwaltung/ekud/ahb/bks/dienstleistungen/ls-sport;No;No;No;N/A;N/A;The page discusses the coordination of school and sports for young athletes.
https://kunstmuseum.gr.ch/de/museum/team/Seiten/Anna-Maria-Genelin.aspx;No;No;No;N/A;N/A;The page provides contact information for Anna Maria Genelin, who is responsible for finances and administration at the Bündner Kunstmuseum.
https://www.gr.ch/EN/institutions/administration/dvs/awt/wirtschaftsstandort/testimonials/Seiten/25_WENZEL-Metromec-AG.aspx;Yes;No;No;N/A;N/A;The page features a testimonial about WENZEL Metromec AG, a company that specializes in software solutions for coordinate measuring technology.
https://kunstmuseum.gr.ch/de/erleben/schulen/Seiten/Kunstgespr%C3%A4ch.aspx;No;No;No;N/A;N/A;The page provides information on art discussions for schools, focusing on interactive and sensory approaches to artworks.
https://www.gr.ch/DE/kanton/175-Jahre/Seiten/Rageth-Abys.aspx;No;No;No;N/A;N/A;The page is about Rageth Abys, a historical figure involved in the Swiss federal assembly and the constitution of 1848.
https://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/dienstleistungen/deklarationssoftware/quellensteuer;Yes;Yes;No;Webpage;Finance and taxes;The page provides download links and system requirements for SofTax QUEST, a software for creating withholding tax statements.
https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/aktuelles/medien/2012/Seiten/201209253.aspx;Yes;Yes;No;Webpage;Social and public security;The page warns about a dangerous computer virus and provides guidance on how to handle an infection, including using antivirus software.
https://www.gr.ch/DE/institutionen/verwaltung/djsg/amz/zivilschutz/faq/Seiten/ZUPLA.aspx;Yes;No;No;N/A;Social and public security;The page discusses the use of special software for assigning civil protection shelters to residents based on various criteria.
https://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/steuererklaerung/quellensteuer/steuerperiode_2011/Seiten/wegleitungen_merkblaetter.aspx;Yes;Yes;No;Webpage;Finance and taxes;The page provides guidelines and forms for withholding tax, mentioning that Adobe Reader software is required to view the documents.
https://www.gr.ch/DE/institutionen/verwaltung/dvs/are/dienstleistungen/grundlagen;No;No;No;N/A;N/A;The page discusses the fundamentals and tools for spatial development, including studies, inventories, and statistics.
