page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://kunstmuseum.gr.ch/de/besuch/bibliothek;No;No;No;N/A;N/A;The page provides information about the library of the Museum of Fine Arts in Chur.
https://www.gr.ch/DE/institutionen/verwaltung/dvs/alt/chemikalien/radon;No;No;No;N/A;N/A;The page discusses the risks and regulations associated with Radon, a naturally occurring radioactive gas.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/anu/themen/laerm/laser;N/A;N/A;N/A;N/A;N/A;The page returned a 404 error, indicating that the content is not available.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afk/sag/projekte/laufendeprojekte/aktenfuehrunggraubuenden;N/A;N/A;N/A;N/A;N/A;The page did not return any content, making it impossible to analyze.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afk/kbg/online/Basisklassifikation/Lists/Klassifikation/DispForm.aspx?ID=2191;Yes;No;No;N/A;N/A;The page appears to be related to classification systems, possibly in the context of operating systems, but the content is not fully clear.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/anu/themen/laerm/industrie;No;No;No;N/A;N/A;The page discusses noise pollution caused by industrial and commercial activities, including regulations and responsibilities.
https://www.gr.ch/DE/institutionen/verwaltung/dvs/alg/geoinformation/Seiten/Geodaten.aspx;Yes;No;No;N/A;N/A;The page provides information on geodata and related web services, including interactive maps that can be accessed without additional software.
https://www.gr.ch/DE/institutionen/verwaltung/dvs/awt/aktuelles/Seiten/Innovationen_%E2%80%93_ein_Stueck_Graubuenden.aspx;Yes;No;No;N/A;N/A;The page discusses the role of innovations, including specialized banking software, in the economic and societal development of the Graubünden region.
https://www.gr.ch/DE/kanton/175-Jahre/Seiten/Epochen-in-Karten.aspx;No;No;No;N/A;N/A;The page is part of an exhibition about the history of Graubünden and its integration into the Swiss Confederation, focusing on various epochs represented in maps.
https://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/steuererklaerung/quellensteuer/steuerperiode_2015/Seiten/Neuerungen.aspx;Yes;Yes;No;Webpage;Finance and taxes;"The page discusses changes in the collection of withholding taxes for the tax period 2015 and mentions the use of ""SofTax QUEST"" software for tax declaration."
https://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/dienstleistungen/formulardownload/Seiten/quellensteuer.aspx;Yes;No;No;N/A;N/A;The page provides various tax forms and mentions that Adobe Reader is required for viewing these documents.
