page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.gr.ch/DE/institutionen/verwaltung/ekud/anu/themen/oberflaechengewaesser/entnahmen;No;No;No;N/A;N/A;Unable to retrieve content.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afb/aktuelles/Newsletter_Studien/Seiten/studium-aktuell-Nr.-69.aspx;No;No;No;N/A;N/A;The page is a newsletter discussing various topics related to studies and education.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/dd/stagl/ueberuns/Projekte/KMU-Projekt;No;No;No;N/A;N/A;The page discusses a project aimed at improving work-life balance in small and medium-sized enterprises (KMU) in Graubünden.
https://www.gr.ch/DE/institutionen/verwaltung/dvs/alt/tiere/tierverkehr;No;No;No;N/A;N/A;The page provides information on regulations and guidelines for the transport of animals in Graubünden.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afk/kbg/online/Basisklassifikation/Lists/Klassifikation/DispForm.aspx?ID=2248;No;No;No;N/A;N/A;The page appears to be a classification list related to various topics, including Rechnerperipherie and Datenkommunikationshardware, but it is not specifically about software.
https://www.gr.ch/DE/institutionen/verwaltung/diem/awn/dokumentation/publikationen/Seiten/5_2_2_analoge_publikationen.aspx;No;No;No;N/A;N/A;The page lists various analog publications related to forestry and natural hazards in Graubünden.
https://kunstmuseum.gr.ch/de/erleben/kinder-und-familien/Seiten/Kinderatelier%20(6-8%20Jahre).aspx;No;No;No;N/A;N/A;The page offers art programs for children aged 6 to 8, focusing on fostering curiosity for artworks.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afk/kbg/online/Basisklassifikation/Lists/Klassifikation/DispForm.aspx?ID=2188;No;No;No;N/A;N/A;The page appears to be another classification list related to various topics but is not specifically about software.
https://www.gr.ch/DE/institutionen/verwaltung/ekud/afb/dl/berufsinspektorat/Seiten/Qualifikationsverfahren.aspx;No;No;No;N/A;N/A;The page provides information on various qualification procedures for vocational training in Graubünden.
https://www.gr.ch/DE/institutionen/verwaltung/djsg/ajv/JVARealta/Aufgaben/Seiten/Grundsaetze.aspx;No;No;No;N/A;N/A;The page outlines the principles and objectives of the Justizvollzugsanstalt Realta, a correctional facility in Graubünden.
