page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://ksberomuenster.lu.ch/Unterricht/projekte/Sondertage/2021_de_improvisaitonstheater;No;No;No;N/A;N/A;The page discusses an improvisation theater event for students.
https://ksalpenquai.lu.ch/ICT/Software;Yes;No;No;N/A;N/A;The page provides information on how students can download Microsoft Office and Adobe products for free.
https://gemeinden.lu.ch/Zivilstandswesen;No;No;No;N/A;N/A;The page discusses services offered by the Department of Municipalities in the area of civil status.
https://migration.lu.ch/Besuch_Visum/Besuchsaufenthalt_und_Einladung;No;No;No;N/A;N/A;The page provides information on visa-free and visa-required stays in Switzerland.
https://ksalpenquai.lu.ch/service/Kopieren_und_Drucken;Yes;Yes;Yes;Web;Education;The page provides a guide on how to use the PaperCut software for printing and copying at the school.
https://www.lu.ch/kr/weitere_informationen/fc_kantonsrat/Archiv;No;No;No;N/A;N/A;The page discusses the activities and achievements of the FC Kantonsrat.
https://ksalpenquai.lu.ch/ICT;Yes;Yes;Yes;Web;Education;The page provides information on two-factor authentication for Microsoft 365.
https://steuern.lu.ch/steuerberaterinnen/stb_at_lohnausweis;Yes;Yes;Yes;Web;Finance and taxes;The page provides a guide on using the eLohnausweis SSK software for creating salary statements.
https://volksschulbildung.lu.ch/unterricht_organisation/uo_beurteilen/uo_be_zeug_lehreroffice;Yes;Yes;Yes;Web;Education;The page provides a comprehensive guide on using the LehrerOffice software for various educational tasks.
https://kssursee.lu.ch/sb/Infos_Schuljahresbeginn;No;No;No;N/A;N/A;The page provides various documents and information for students at the beginning of the school year.
https://polizei.lu.ch/organisation/sicherheit_verkehrspolizei/verkehrspolizei/spezialversorgung/Fachdienst_Verkehr;No;No;No;N/A;N/A;The page provides information on the Traffic Service Department.
