page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://darmkrebsvorsorge.lu.ch/Programm/Vorsorgemethoden;No;No;No;N/A;N/A;The page is about methods for colorectal cancer prevention.
https://geoportal.lu.ch/Disclaimer;No;No;No;N/A;N/A;The page provides a disclaimer and data protection information for the Geoportal website.
https://finanzen.lu.ch/links;No;No;No;N/A;N/A;The page provides links related to financial laws and regulations.
https://veterinaerdienst.lu.ch/download;No;No;No;N/A;N/A;The page provides various downloads related to animal health and welfare.
https://lmvdmz.lu.ch/logistik/it_arbeitsplaetze;Yes;No;No;N/A;N/A;The page discusses IT logistics and services related to the lifecycle of IT workstations.
https://veterinaerdienst.lu.ch/tierarzneimittel/nutztierhalter;No;No;No;N/A;N/A;The page provides guidelines for livestock owners on the use of veterinary medicines.
https://gerichte.lu.ch/rechtsgebiete/ehe_und_familie/unterhalt/wird_nicht_bezahlt/schuldneranweisung;No;No;No;N/A;N/A;The page discusses debtor instructions in the context of maintenance obligations.
https://ksreussbuehl.lu.ch/service/EMS_Test;No;No;No;N/A;N/A;The page provides information about the EMS-Test 2024, including the schedule and registration details.
https://oereb.lu.ch/rechtliche_hinweise;No;No;No;N/A;N/A;The page provides legal notices and disclaimers related to the ÖREB-Cadastre.
https://baurecht.lu.ch/Rueckzonung;No;No;No;N/A;N/A;The page discusses the criteria and procedures for rezoning land in the context of urban planning.
https://www.lu.ch/-/klu/ris/cdws/document?fileid=6979da634654496f899cd6167b377a58;Yes;No;No;N/A;N/A;The document discusses various projects and systems related to digitalization and policing, such as BussenApp and LAFIS.
