page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://elternbildung.lu.ch/Fuer_Elternbildner_innen_und_Veranstalter_innen/Didaktikmaterialien;No;No;No;N/A;N/A;The page provides didactic materials for parents and parent education events.
https://darmkrebsvorsorge.lu.ch/FAQ;No;No;No;N/A;N/A;The page provides frequently asked questions about colorectal cancer screening.
https://volksschulbildung.lu.ch/Sitemap;No;No;No;N/A;N/A;The page serves as a sitemap for the Volksschulbildung website.
https://informatik.lu.ch/informationen_fuer_benutzer/passwort_vergessen;Yes;Yes;Yes;Webpage;E-governance and administration;The page provides information on password management and 2-FA.
https://lawa.lu.ch/download/download_landwirtschaft/download_stofflicher_gewaesserschutz;No;No;No;N/A;N/A;The page provides documents related to material water protection in agriculture.
https://gerichte.lu.ch/recht_sprechung/lgve/Ajax?EnId=10974;No;No;No;N/A;N/A;The page contains a legal decision regarding military insurance.
https://gerichte.lu.ch/rechtsgebiete/ehe_und_familie/unterhalt/wird_nicht_bezahlt;No;No;No;N/A;N/A;The page provides information on legal options for alimony payments.
https://wahlen.lu.ch/nrat/wahlvorbereitung/wahlanleitung;No;No;No;N/A;N/A;The page provides an election guide for the National and Council of States elections.
https://www.lu.ch/verwaltung/JSD/jsd_unser_departement;No;No;No;N/A;N/A;The page provides an overview of the Justice and Security Department.
https://mse.lu.ch/links/links_internet;Yes;Yes;Yes;Webpage;Communication and collaboration;The page provides resources on internet competence.
https://geoportal.lu.ch/Geodaten;Yes;Yes;Yes;Webpage;Maps, infrastructures and territorial planning;The page offers a Geodata shop providing various geospatial data formats.
