page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://steuern.lu.ch/publikationen/steuerstatistiken;No;No;No;N/A;N/A;The page provides statistical information related to taxes and finances in the Canton of Luzern.
https://www.lu.ch/verwaltung/BKD/Aktuelle_Projekte_und_Themen;Yes;No;No;N/A;Education;The page discusses various projects related to the integration of software and digital tools in educational settings in the Canton of Luzern.
https://rawi.lu.ch/themen/siedlungsentwicklung/siedlungsentwicklung_hilfsmittel;No;No;No;N/A;N/A;The page provides various guidelines and tools for urban development and planning in the Canton of Luzern.
https://beruf.lu.ch/Sitemap;No;No;No;N/A;N/A;The page serves as a sitemap for the Berufsbildungszentrum Luzern, providing an overview of various educational and vocational training programs.
https://gerichte.lu.ch/recht_sprechung/lgve/Ajax?EnId=10975;No;No;No;N/A;N/A;The page contains a legal decision related to urban planning and zoning in the Canton of Luzern.
https://volksschulbildung.lu.ch/unterricht_organisation/uo_sonderschulung/uo_ss_unterricht/uo_ss_unterricht_icf;No;No;No;N/A;N/A;The page focuses on the educational and support process for students with special educational needs in the Canton of Luzern.
https://zivilschutz.lu.ch/Unsere_Abteilung/Infrastruktur/Warnung_und_Alarmierung_der_Bevoelkerung;No;No;No;N/A;N/A;The page provides information on the warning and alerting systems for the population in the Canton of Luzern, including siren tests and emergency procedures.
https://weltvonmorgen-beruf.lu.ch/24_CAD_WB_BBZW;Yes;Yes;No;Webpage;Education;The page discusses CAD training for teachers, focusing on the integration of 3D technologies and CAD software in vocational education.
https://uwe.lu.ch/themen/radon/Radon_in_Schulen;No;No;No;N/A;N/A;The page discusses the obligation to measure radon levels in schools and kindergartens in the Canton of Luzern, as per the Radiation Protection Ordinance.
https://immobilien.lu.ch/ueberuns;No;No;No;N/A;N/A;The page provides information about the Dienststelle Immobilien, the real estate competence center of the Canton of Luzern, and its services.
https://ksreussbuehl.lu.ch/intern;Yes;Yes;Yes;Webpage;Education;The page provides password-protected areas and technical guides for students and teachers, including password reset procedures and 2FA instructions.
