page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://ksalpenquai.lu.ch/veranstaltungen/kanti_theater/2019_Maedchen_in_Uniformen;No;No;No;N/A;N/A;The page is about a theater project called Mädchen in Uniformen at KSA.
https://lawa.lu.ch/Landwirtschaft/Baugesuche_und_Raumplanung/Baugesuchseingabe;No;No;No;N/A;N/A;The page provides information on submitting building applications for agricultural structures and facilities.
https://www.lu.ch/verwaltung/staatskanzlei/Mangellage/03_Wirtschaft;No;No;No;N/A;N/A;The page discusses the role of the federal government in intervening during energy shortages affecting the economy.
https://immobilien.lu.ch/leistungen/Planen_Bauen/aktuelle_bauprojekte/Zivilschutzzentrum_Sempach;No;No;No;N/A;N/A;The page discusses the renovation and new construction plans for a civil protection training center in Sempach.
https://gesundheit.lu.ch/znueni;No;No;No;N/A;N/A;The content could not be retrieved for analysis.
https://wauwilermoos.lu.ch/offener_vollzug/ov_aus_dem_alltag/ov_besuche_urlaub;No;No;No;N/A;N/A;The page provides information on visitation rules and regulations for inmates at the Wauwilermoos correctional facility.
https://gesundheit.lu.ch/themen/Humanmedizin/Infektionskrankheiten/Mpox;No;No;No;N/A;N/A;The page provides information on Mpox (Monkeypox) disease, its symptoms, transmission, and vaccination recommendations.
https://steuern.lu.ch/publikationen/news_archiv;Yes;No;No;N/A;Finance and taxes;The page provides an archive of news related to taxes, including a mention of Luzerner Steuerdeklarationssoftware available for download.
https://migration.lu.ch/Asyl_und_Rueckkehr/FAQ;No;No;No;N/A;N/A;The page provides a FAQ section on asylum and return procedures in Switzerland.
https://gerichte.lu.ch/rechtsgebiete/ehe_und_familie/unterhalt/wird_nicht_bezahlt/betreibung;No;No;No;N/A;N/A;The page provides information on the legal process for enforcing alimony payments.
https://informatik.lu.ch/was_wir_bewegen;Yes;No;No;N/A;Communication and collaboration;The page discusses the services provided by the Dienststelle Informatik of the Canton of Lucerne, including software solutions for various departments and schools.
