page_link;page_is_about_software;page_is_software_guide;page_contains_software_guide;guide_format;guide_topic;page_content
https://www.ur.ch/_rte/information/105367;Yes;No;No;N/A;N/A;The page discusses the inspection of heavy vehicles, including the use of software for diagnostics and manipulation detection.
https://www.ur.ch/_rte/anlass/59833;Yes;Yes (event);No;Event;Communication and collaboration;The page announces an event discussing digital collaboration tools, including Microsoft 365.
https://www.ur.ch/_rte/information/103577;Yes;No;No;N/A;Finance and taxes;The page discusses various financial topics, including digital transformation projects in the area of taxation and informatization.
https://www.ur.ch/_rte/information/104596;No;No;No;N/A;N/A;The page discusses a sports camp for fifth and sixth graders organized by the Education and Culture Directorate of the Canton of Uri.
https://www.ur.ch/_rte/anlass/60250;N/A;N/A;N/A;N/A;N/A;The page is not accessible (404 error).
https://www.ur.ch/_rte/information/105037;Yes;No;No;N/A;Finance and taxes;The page announces a temporary closure of the Tax Office due to a comprehensive update of the tax software.
https://www.ur.ch/_rte/traktanden/19747;N/A;N/A;N/A;N/A;N/A;The page did not provide any content for analysis.
https://www.ur.ch/_rte/traktanden/16936;Yes;No;No;N/A;E-governance and administration;The page discusses a parliamentary session where the strategic promotion of Open Source Software was one of the topics.
https://www.ur.ch/_rte/traktanden/17303;Yes;No;No;N/A;E-governance and administration;The page discusses a parliamentary session that included topics on digital transformation and Open Source Software.
https://www.ur.ch/_rte/anlass/59827;N/A;N/A;N/A;N/A;N/A;The page did not provide any content for analysis.
