page_link;explanation;software_name
https://www.wegleitung.sv.fin.be.ch/de/start/np2020/allgemeine-informationen/einsprache.html;The page provides information on how to file an objection to tax assessments online.;BE-Login, taxme.ch
https://www.sv.fin.be.ch/de/start/e-services/taxme-online-jp.html;The page details the process for legal entities to fill out their tax declaration using TaxMe-Online, without the need for software installation.;TaxMe-Online
https://www.sta.be.ch/de/start/themen/wahlen-und-abstimmungen/infos-fuer-gemeinden.html;The page provides resources and support for municipalities regarding elections and voting, including training videos and instructions for the BEWAS software.;BEWAS
https://www.raumplanung.dij.be.ch/de/start/muster/musterbaureglement--mbr-.html;The page offers a model building regulation (Musterbaureglement, MBR) as a guide for municipal authorities and planners, available in PDF and Word formats for adaptation.;
https://www.bemobil.sites.be.ch/de/start/angebote/arbeitsformen.html;The page discusses flexible working arrangements supported by the Canton of Bern and provides user guides for Skype for Business and Zoom to facilitate teleconferencing.;Skype for Business, Zoom
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=e0efa301-4b00-39bb-8628-8d0d1c227bd0;The page announces the online publication of the University of Bern's study guide, which includes various links to additional resources and information.;
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=715de14f-7336-3562-bf7c-63142beaeeec;The page discusses the advancements in e-government services within the tax administration, highlighting the use of TaxMe-Online and TaxMe-CD for electronic tax filing and the introduction of electronic tax account management.;TaxMe-Online, TaxMe-CD
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=67ee5a1a-f2de-3518-b6db-430420cac752;The page provides information on the electronic filing of tax returns for the tax period of 2004 using TaxMe-CD or TaxMe Online, with a focus on the enhancements made to these services.;TaxMe-CD, TaxMe Online
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=5981d64d-1481-3032-a1d8-602a9a9dcc03;The page reports on the increased satisfaction with the tax administration's services and the rise in online tax declaration submissions through TaxMe-Online, with a demo version available at www.taxme.ch.;TaxMe-Online
https://www.be.ch/de/start/dienstleistungen/medien/medienmitteilungen.html?newsID=039849ff-bb11-31a7-9f07-7d6e77e1c2eb;The page details the increased adoption of electronic tax filing, with 80% of tax declarations being filled out electronically, and introduces BE-Login as the new E-Government portal for online services, including tax-related processes.;TaxMe-Online, BE-Login
