page_link;explanation;software_name
https://www.zh.ch/de/umwelt-tiere/wald.html;The page provides information on forest planning and management in the Canton of Zurich.;GIS-Browser, FOMES
https://www.zh.ch/de/umwelt-tiere/umweltschutz/umweltpraxis/definitionsseite/2011/63/zup063_2011_a0024_waldentwicklungsplan-pdf.html;The page discusses the forest development plan for the Canton of Zurich.;
https://www.zh.ch/de/umwelt-tiere/umweltschutz.html;The page offers a guide on environmental protection practices and regulations in the Canton of Zurich.;
https://www.zh.ch/de/steuern-finanzen/steuern/treuhaender/steuerbuch/steuerbuch-definition/zstb-26-2.html;The page outlines guidelines for tax deductions related to professional costs for expatriates in Zurich.;
https://www.zh.ch/de/steuern-finanzen/steuern/steuern-juristische-personen/steuererklaerung-juristische-personen.html;The page provides tax forms and instructions for legal entities to file taxes in the Canton of Zurich.;Adobe Reader
https://www.zh.ch/de/sicherheit-justiz/zivilschutz/ausbildungszentrum-andelfingen/informationen-kursteilnehmende-aza.html;The page provides information for course participants at the Andelfingen Training Center, including accommodation and dining options.;Swisscom Public Wireless LAN
https://www.zh.ch/de/planen-bauen/wasserbau/planungsgrundlagen-wasserbau.html;The page provides planning principles and documentation for water construction projects in the Canton of Zurich.;
https://www.zh.ch/de/planen-bauen/hochbau/planungsgrundlagen-hochbau.html;The page provides guidelines and documentation for high construction planning in the Canton of Zurich.;Adobe Reader, Microsoft Excel
https://www.zh.ch/de/gesundheit/spitaeler-kliniken/spitalplanung.html;The page details the hospital planning for the Canton of Zurich, including lists and requirements for various medical facilities.;SPLG-Grouper
https://www.zh.ch/de/finanzdirektion/personalamt/anlaufstellen.html;The page provides contact points for payroll-related inquiries and introduces the electronic payroll journal in the Canton of Zurich.;SAP GUI, SAP Fiori Launchpad
https://www.zh.ch/de/arbeiten-beim-kanton/fuer-hr-profis/handbuch-personalrecht/definition/rechte-und-pflichten/treue-und-sorgfaltspflicht.html;The page outlines the duties of loyalty and care required from employees working for the Canton of Zurich's administration.;
https://www.zh.ch/de/arbeiten-beim-kanton/fuer-hr-profis/handbuch-personalrecht/definition/beendigung-arbeitsverhaeltnis/abfindung.html;The page provides guidelines on severance payments for employees in the event of job termination without fault in the Canton of Zurich.;
