page_link;explanation;software_name
https://www.fr.ch/de/alltag/vorgehen-und-dokumente/2008;"The page provides information for municipalities about the ""Personnenergisterharmonisierung"" project in the canton of Freiburg. It includes various documents and guidelines.";
https://www.fr.ch/de/steuern/natuerliche-personen/lohnausweis;The page provides guidelines for employers on how to issue a salary statement (Lohnausweis). It mentions a software program provided by tax authorities for this purpose.;eLohnausweis SSK
https://www.fr.ch/de/steuern/natuerliche-personen/fritax/fritax-faq;The page provides a FAQ section for FriTax, a software for electronic tax filing. It covers various aspects like data import, troubleshooting, and security.;FriTax
https://www.fr.ch/de/steuern/natuerliche-personen/fritax;The page provides an overview of FriTax, a software application for electronic tax filing in the canton of Freiburg. It includes download and installation instructions.;FriTax
https://www.fr.ch/de/steuern/natuerliche-personen;The page serves as a hub for tax-related information for natural persons in the canton of Freiburg. It mentions FriTax as a software for electronic tax filing.;FriTax
https://www.fr.ch/de/steuern/juristische-personen;The page serves as a hub for tax-related information for legal entities in the canton of Freiburg. It mentions e-tax JP as an online service for filing tax returns for legal entities.;e-tax JP
https://www.fr.ch/de/staat-und-recht/gesetzgebung/redaktion-und-gesetzestechnik;The page provides guidelines for drafting and editing legislative texts in the canton of Freiburg. It mentions LexWork as an IT application used for managing and publishing legislation.;LexWork
https://www.fr.ch/de/staat-und-recht/abstimmungen-wahlen-und-politische-rechte/abstimmungen-informationen-zu-den-abstimmungsvorlagen-und-den-resultaten/abstimmungsbroschueren-im-audio-format;The page provides information on audio brochures for visually impaired citizens. It mentions that documents are available in DAISY format, which can be played on specialized devices, computers, and MP3-compatible players.;DAISY
https://www.fr.ch/de/sjsd/pol/news/praevention-im-bereich-tech-support-betrug;The page discusses a national campaign for the prevention of tech-support fraud, specifically Microsoft-Scam. It aims to educate the public on the risks associated with this form of cybercrime.;
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-navigationprinzipien;The page serves as a user manual for the DSK2 web application, detailing its navigation principles and modules for different user roles.;DSK2
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-honorarordnung-ho33/dsk2-hilfe-verwaltung-ho33;The page serves as a user manual for the HO33 management module within the DSK2 web application. It provides detailed instructions on how to use the module, including how to filter searches and create new HO33 forms.;DSK2
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-honorarordnung-ho33/dsk2-hilfe-formular-ho33;The page serves as a user manual for the HO33 form within the DSK2 web application. It provides a detailed walkthrough of the form's various sections and functionalities.;DSK2
