page_link;explanation;software_name
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2017.html/7414;The page lists system requirements for the eFisc2017/2018 tax declaration software.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2015.html/3250;The page provides system requirements for the eFisc2015 tax declaration software.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2014.html/3251;This page details the system requirements for the eFisc2014 tax declaration software.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/systemanforderungen-efisc2013.html/3252;The page outlines the system requirements for the eFisc2013 tax declaration software.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/systemanforderungen/sysemanforderungen-efisc2012.html/3253;The page lists system requirements for the eFisc2012 tax declaration software.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc2022.html/14104;The page provides download links for the eFisc2022 tax declaration software for various operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc2020.html/10903;The page offers download options for the eFisc2020 tax declaration software for different operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc2018.html/9236;The page provides download links for the eFisc2018 tax declaration software for various operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc2016.html/2959;The page offers download files for the eFisc2016 tax declaration software for multiple operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc2015.html/2960;The page provides download options for the eFisc2015 tax declaration software for various operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc2014.html/2962;The page offers download files for the eFisc2014 tax declaration software for multiple operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/download-efisc-2017.html/7413;The page provides download links for the eFisc2017 tax declaration software for various operating systems.;eFisc
https://steuerverwaltung.tg.ch/hilfsmittel/efisc-steuererklaerungssoftware/archiv-fisc2010-bis-efisc2013/download-fisc2011.html/3259;The page provides a download for the Fisc2011 tax declaration software and includes features such as an online guide, tax calculation, and data import from the previous year.;Fisc
