page_link;explanation;software_name
https://www.zh.ch/de/steuern-finanzen/steuern/steuern-natuerliche-personen/steuererklaerung-natuerliche-personen.html;The page provides information and access to the online tax declaration software as well as downloadable software for offline tax declaration.;ZHprivateTax
https://www.zh.ch/de/steuern-finanzen/steuern/quellensteuer/quellensteuer-abrechnen/equest-abrechnen.html;The page provides a guide for using eQuest, an eService of the ZHservices Business platform for online tax accounting.;eQuest
https://www.zh.ch/de/planen-bauen/tiefbau/strassenanlagen/strassenentwaesserung.html;The page provides guidelines and documentation for the planning and execution of road drainage systems but does not specify any particular software used for these purposes.;
https://www.zh.ch/de/planen-bauen/tiefbau.html;The page outlines the deep construction (Tiefbau) projects and processes in the Canton of Zurich, including documentation and guidelines for various construction phases, but does not reference specific software.;
https://www.zh.ch/de/mobilitaet/gesamtverkehrsplanung/verkehrsgrundlagen/verkehrsdaten.html;The page discusses traffic data collection in the Canton of Zurich and mentions the use of a GIS-Browser for public data access, but does not detail specific software for traffic data analysis.;GIS-Browser
https://www.zh.ch/de/migration-integration/integration/integrationsagenda/online-handbuch-iazh/finanzierung-reporting/reporting-iazh--anleitung-und-erlaeuterungen.html;The page provides instructions for reporting on the use of integration offers within the Canton of Zurich's integration agenda, mentioning the use of fall management software like Tutoris and KLIB, as well as Excel templates for data collection.;Tutoris,KLIB
https://www.zh.ch/de/bildung/informationen-fuer-schulen/informationen-volksschule/volksschule-schulinfo-besonderer-bildungsbedarf/schulinfo-spitalschulung.html;The page provides guidelines and documentation for hospital schooling within the Canton of Zurich, including the creation of framework concepts and oversight processes, but does not reference specific software for these educational services.;
https://www.zh.ch/de/bildung/informationen-fuer-schulen/informationen-volksschule/volksschule-fuehrung/volksschule-klassen-stellen-planen/volksschule-schuljahr-planen.html;The page provides various planning and calculation tools for school administration, including tools for job postings and time tracking for school management.;Planungstool,Berechnungstool,Tool für Stellenausschreibung,Medienbruchfreies Zeiterfassungstool,Tool zur Zeiterfassung für Schulleitende
https://www.zh.ch/de/bildung/berufs-studien-laufbahnberatung/ausbildungsbeitraege/hilfe-beim-beantragen-von-ausbildungsbeitraegen/fuer-zhservices-business-anmelden.html;The page provides a guide for institutions to register for ZHservices Business, a transactional platform for digital administrative tasks, including online applications for educational grants.;ZHservices Business
https://www.zh.ch/de/wirtschaft-arbeit/wirtschaftsstandort/innovation-sandbox/leitfaden-autonome-systeme.html;The page provides a comprehensive guide for manufacturers on the legal aspects of bringing autonomous systems to market, focusing on regulatory requirements and certifications, but does not specify particular software used in these systems.;
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/inhalte-gestalten/services-anbieten.html;The page discusses the principles of offering services on the Canton of Zurich's web presence, including creating online forms and providing services through the ZHservices platform, but does not specify particular software for service provision.;ZHservices
